4f8.(7F).6s                | 6F        |  5/2 |          13030.786    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3F)         | 8F*       |  9/2 |          13076.050    |            
                           |           | 11/2 |          13377.976    |            
                           |           |      |                       |             
4f8.(7F).6s                | 6F        |  3/2 |          13515.189    |            
                           |           |  1/2 |          13800.345    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3F)         | 8F*       | 13/2 |          13925.734    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3F)         | *         | 11/2 |          17725.052    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(1D)         | *         |  9/2 |          17817.123    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | *         |  7/2 |          17869.878    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | *         |  5/2 |          17971.595    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(1G)         | 8G*       |  1/2 |          17987.607    |            
                           |           |  3/2 |          18001.302    |            
                           |           |  5/2 |          18095.705    |            
                           |           |  7/2 |          18150.637    |            
                           |           |  9/2 |          18319.239    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        | 15/2 |          18366.854    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(1D)         | 8D*       |  3/2 |          18369.326    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        | 13/2 |          18389.122    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(1G)         | 8G*       | 11/2 |          18641.357    |            
                           |           | 13/2 |          18676.965    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        | 11/2 |          18690.096    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(1G)         | 8G*       | 15/2 |          18753.034    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | 8P*       |  5/2 |          18955.050    |            
                           |           |  7/2 |          19223.207    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        |  9/2 |          19376.999    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | 8P*       |  9/2 |          19401.977    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3F)         | 6F*       | 11/2 |          19750.111    |            
                           |           |  9/2 |          19946.775    |            
                           |           |  7/2 |          20047.344    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8D        | 11/2 |          20093.245    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        |  7/2 |          20098.274    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3F)         | 6F*       |  5/2 |          20227.868    |            
                           |           |  3/2 |          20369.257    |            
                           |           |  1/2 |          20453.647    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8D        |  9/2 |          20574.163    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        |  5/2 |          20631.090    |            
                           |           |  3/2 |          21005.895    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8F        | 13/2 |          21157.496    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8G        |  1/2 |          21227.621    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8D        |  7/2 |          21364.923    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8F        |  5/2 |          22062.405    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        | 17/2 |          22531.290    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8F        | 11/2 |          22533.110    |            
                           |           |  3/2 |          22677.320    |            
                           |           |  9/2 |          23025.282    |            
                           |           |  1/2 |          23255.821    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        | 15/2 |          23270.336    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8F        |  7/2 |          23473.095    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8D        |  5/2 |          23697.401    |            
                           |           |  3/2 |          23731.959    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        | 13/2 |          23970.178    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | 6P*       |  7/2 |          24113.296    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6F        | 11/2 |          24412.685    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        | 11/2 |          24528.042    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | 6P*       |  5/2 |          24791.510    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        |  9/2 |          24852.273    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(3P)         | 6P*       |  3/2 |          24965.843    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        |  7/2 |          25167.167    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6G        | 13/2 |          25277.136    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        |  5/2 |          25404.022    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6F        |  9/2 |          25438.335    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6H        | 15/2 |          25502.560?   |            
                           |           |      |                       |             
4f8.(7F).5d                | 8H        |  3/2 |          25570.698    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8P        |  9/2 |          25609.049    |            
                           |           |      |                       |             
4f7.(8S*).6s.6p.(3P*)      | 10P       |  7/2 |          25668.692    |            
