3d10.4s               | 2S     | 1/2 |                 0     |    L10390
                      |        |     |                       |           
3d10.4p               | 2P*    | 1/2 |           427411.     |    L10390
                      |        | 3/2 |           574917.     |    L10390
                      |        |     |                       |           
3d10.4d               | 2D     | 3/2 |           1268220     |    L10390
                      |        | 5/2 |           1297510     |    L10390
                      |        |     |                       |           
3d10.4f               | 2F*    | 5/2 |           2034900     |    L10390
                      |        | 7/2 |           2039070     |    L10390
                      |        |     |                       |           
3d10.5s               | 2S     | 1/2 |           2884100     |    L10390
                      |        |     |                       |           
3d10.5p               | 2P*    | 1/2 |           3083100     |    L10390
                      |        | 3/2 |           3149700     |    L10390
                      |        |     |                       |           
3d10.5d               | 2D     | 3/2 |           3469100     |    L10390
                      |        | 5/2 |           3483100     |    L10390
                      |        |     |                       |           
3d10.5f               | 2F*    | 5/2 |           3805800     |    L10390
                      |        | 7/2 |           3808700     |    L10390
                      |        |     |                       |           
3d10.5g               | 2G     | 7/2 |           3934900     |    L10390
                      |        | 9/2 |           3935900     |    L10390
                      |        |     |                       |           
3d10.6g               | 2G     | 7/2 |           4843100     |    L10107
                      |        | 9/2 |           4843300     |    L10107
                      |        |     |                       |           
3d9.4s.4p             | 2P*    | 1/2 |           5225500     |    L10107
