2p6.3s2             | 1S     |   0 |                 0     |     L7185
                    |        |     |                       |           
3s.3p               | 3P*    |   0 |            203444     |          
                    |        |   1 |            207399     |          
                    |        |   2 |            216557     |          
                    |        |     |                       |           
3s.3p               | 1P*    |   1 |            304629     |          
                    |        |     |                       |           
3p2                 | 3P     |   0 |            482122     |          
                    |        |     |                       |           
3p2                 | 1D     |   2 |            483144     |          
                    |        |     |                       |           
3p2                 | 3P     |   1 |            488223     |          
                    |        |   2 |            499174     |          
                    |        |     |                       |           
3p2                 | 1S     |   0 |            569421     |          
                    |        |     |                       |           
3s.3d               | 3D     |   1 |            588562     |          
                    |        |   2 |            589150     |          
                    |        |   3 |            590063     |          
                    |        |     |                       |           
3s.3d               | 1D     |   2 |            662428     |          
                    |        |     |                       |           
3p.3d               | 3F*    |   2 |            805156     |          
                    |        |   3 |            811454     |          
                    |        |   4 |            818730     |          
                    |        |     |                       |           
3p.3d               | 1D*    |   2 |            819961     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   2 |            852734     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   1 |            853150     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   0 |            859662     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   3 |            860904     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   1 |            861427     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   2 |            861799     |          
                    |        |     |                       |           
3p.3d               | 1F*    |   3 |            920560     |          
                    |        |     |                       |           
3p.3d               | 1P*    |   1 |            931754     |          
                    |        |     |                       |           
3d2                 | 3F     |   2 |           1187767     |          
                    |        |   3 |           1188753     |          
                    |        |   4 |           1189901     |          
                    |        |     |                       |           
3d2                 | 1D     |   2 |           1215243     |          
                    |        |     |                       |           
3d2                 | 1G     |   4 |           1217906     |          
                    |        |     |                       |           
3d2                 | 3P     |   0 |           1218447     |          
                    |        |   1 |           1218751     |          
                    |        |   2 |           1219532     |          
                    |        |     |                       |           
3s.4s               | 3S     |   1 |           1385260     |          
                    |        |     |                       |           
3s.4s               | 1S     |   0 |           1400000     |          
                    |        |     |                       |           
3s.4p               | 1P*    |   1 |           1492920     |          
                    |        |     |                       |           
3s.4d               | 3D     |   1 |           1616210     |          
                    |        |   2 |           1616450     |          
                    |        |   3 |           1617160     |          
                    |        |     |                       |           
3s.4d               | 1D     |   2 |           1617480     |          
                    |        |     |                       |           
3p.4s               | 3P*    |   2 |           1652000     |          
                    |        |     |                       |           
3s.4f               | 3F*    |   2 |           1678490     |          
                    |        |   3 |           1678570     |          
                    |        |   4 |           1678740     |          
                    |        |     |                       |           
3s.4f               | 1F*    |   3 |           1690860     |          
                    |        |     |                       |           
3p.4p               | 3D     |   3 |           1746000?    |          
                    |        |     |                       |           
3p.4p               | 3P     |   2 |           1752000     |          
                    |        |     |                       |           
3p.4p               | 3S     |   1 |           1754000     |          
                    |        |     |                       |           
3p.4d               | 1F*    |   3 |           1847000     |          
                    |        |     |                       |           
3p.4d               | 3D*    |   1 |           1866000     |          
                    |        |   2 |           1866000     |          
                    |        |     |                       |           
3p.4d               | 3F*    |   3 |           1870000     |          
                    |        |     |                       |           
3p.4d               | 3D*    |   3 |           1871000     |          
                    |        |     |                       |           
3p.4d               | 3P*    |   2 |           1891000     |          
                    |        |     |                       |           
3p.4f               | 3G     |   3 |           1916020     |          
                    |        |   4 |           1920470     |          
                    |        |     |                       |           
3p.4f               | 3F     |   3 |           1920670     |          
                    |        |     |                       |           
3p.4f               | 3G     |   5 |           1929970     |          
                    |        |     |                       |           
3p.4f               | 3F     |   4 |           1931340     |          
                    |        |     |                       |           
3p.4f               | 3D     |   3 |           1940700     |          
                    |        |   2 |           1944400     |          
                    |        |   1 |           1946500     |          
                    |        |     |                       |           
3p.4f               | 1G     |   4 |           1953000     |          
                    |        |     |                       |           
3s.5s               | 3S     |   1 |           1963000     |          
                    |        |     |                       |           
3s.5p               | 1P*    |   1 |           2017000     |          
                    |        |     |                       |           
3s.5d               | 3D     |   1 |           2076000     |          
                    |        |   2 |           2076350     |          
                    |        |   3 |           2076500     |          
                    |        |     |                       |           
3s.5d               | 1D     |   2 |           2079000     |          
                    |        |     |                       |           
3s.5f               | 3F*    |   4 |           2105950     |          
                    |        |     |                       |           
3s.6s               | 3S     |   1 |           2256000     |          
                    |        |     |                       |           
3s.6p               | 1P*    |   1 |           2286000     |          
                    |        |     |                       |           
3s.6d               | 3D     |   1 |           2319000     |          
                    |        |   3 |           2320000     |          
                    |        |   2 |           2320000     |          
                    |        |     |                       |           
3s.6f               | 3F*    |   4 |           2337000     |          
                    |        |     |                       |           
3s.7p               | 1P*    |   1 |           2444000     |          
                    |        |     |                       |           
3s.7f               | 3F*    |   4 |           2476000     |          
