2s2.2p               | 2P*    | 1/2 |                 0.000    |    L15349
                     |        | 3/2 |             22656.239    |    L15349
                     |        |     |                          |           
2s.2p2               | 4P     | 1/2 |            230296+x      |    L15349
                     |        | 3/2 |            238954+x      |    L15349
                     |        | 5/2 |            250423+x      |    L15349
                     |        |     |                          |           
2s.2p2               | 2D     | 3/2 |            410254        |    L15349
                     |        | 5/2 |           411205.        |    L15349
                     |        |     |                          |           
2s.2p2               | 2S     | 1/2 |           514401.        |    L15349
                     |        |     |                          |           
2s.2p2               | 2P     | 1/2 |            545244        |    L15349
                     |        | 3/2 |           554678.        |    L15349
                     |        |     |                          |           
2p3                  | 4S*    | 3/2 |           718925.+x      |    L15349
                     |        |     |                          |           
2p3                  | 2D*    | 3/2 |            810387        |    L15349
                     |        | 5/2 |            812956        |    L15349
                     |        |     |                          |           
2p3                  | 2P*    | 1/2 |            908793        |    L15349
                     |        | 3/2 |            913056        |    L15349
                     |        |     |                          |           
2s2.3p               | 2P*    | 1/2 |           3533890        |    L15349
                     |        | 3/2 |           3534840        |    L15349
                     |        |     |                          |           
2s2.3d               | 2D     | 3/2 |           3640470        |    L15349
                     |        | 5/2 |           3641780        |    L15349
                     |        |     |                          |           
2s.2p.(3P*).3s       | 2P*    | 1/2 |           3705800        |    L15349
                     |        | 3/2 |           3720820        |    L15349
                     |        |     |                          |           
2s.2p.(3P*).3p       | 2D     | 5/2 |           3828850        |    L15349
                     |        |     |                          |           
2s.2p.(3P*).3d       | 2D*    | 3/2 |           3885390        |    L15349
                     |        |     |                          |           
2s.2p.(3P*).3d       | 2F*    | 7/2 |           3954400        |    L15349
                     |        |     |                          |           
2s.2p.(1P*).3d       | 2F*    | 7/2 |           4085000        |    L15349
                     |        |     |                          |           
2s2.4d               | 2D     | 5/2 |           4722050        |    L15349
                     |        | 3/2 |           4724300        |    L15349
