4f10.(5I<8>).6s2.6p<3/2>                   | (8,3/2)*   |         13/2 |       22024.20    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(3P*<1>)            | (13/2,1)   |         13/2 |       22157.86    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |          9/2 |       22157.88    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(3P*<1>)            | (13/2,1)   |         15/2 |       22227.34    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         13/2 |       22392.88    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(3P*<1>)            | (13/2,1)   |         11/2 |       22413.14    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7F).6s                 |            |         13/2 |       22414.04    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7K).6s                 |            |         17/2 |       22476.89    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7G).6s                 |            |         15/2 |       22500.62    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         11/2 |       22518.59    |     L3974
                                           |            |              |                   |           
4f11.(4G*).6s2                             | 4G*        |         11/2 |       22593.53    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7I).6s                 |            |         19/2 |       22866.55    |     L3974
                                           |            |              |                   |           
4f10.(5I<5>).5d<5/2>.6s2                   | (5,5/2)    |         13/2 |       22978.19    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7K).6s                 |            |         21/2 |       23366.71    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7M).6s                 | 8M         |         15/2 |       23375.28    |     L3974
                                           |            |              |                   |           
4f10.(5I<5>).5d<5/2>.6s2                   | (5,5/2)    |         11/2 |       23379.31    |     L3974
                                           |            |         15/2 |       23445.28    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(3P*<2>)            | (13/2,2)   |         17/2 |       23498.57    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(1D)                      | *          |         13/2 |       23585.31    |     L3974
                                           |            |              |                   |           
4f10.(5I<7>).6s2.6p<1/2>                   | (7,1/2)*   |         15/2 |       23818.54    |     L3974
                                           |            |              |                   |           
