3d7                 | 4F     |  9/2 |                  0     |    L12180
3d6.(3G).4p         | 4H*    |  7/2 |             541304     |          
                    |        | 11/2 |             541424     |          
                    |        |  9/2 |             541471     |          
                    |        |      |                        |           
3d6.(3F2).4p        | 2D*    |  5/2 |             543934     |          
                    |        |  3/2 |             545417     |          
                    |        |      |                        |           
3d6.(3G).4p         | 2F*    |  5/2 |             545632     |          
                    |        |  7/2 |             546341     |          
                    |        |      |                        |           
3d6.(1I).4p         | 2K*    | 13/2 |             546431?    |          
                    |        |      |                        |           
3d6.(3H).4p         | 2H*    | 11/2 |             546960     |          
                    |        |  9/2 |             547868     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4P*    |  5/2 |             547996     |          
                    |        |  3/2 |             548824     |          
                    |        |      |                        |           
3d6.(1G2).4p        | 2H*    |  9/2 |             549753     |          
                    |        |      |                        |           
3d6.(3G).4p         | 2G*    |  7/2 |             549771     |          
                    |        |      |                        |           
3d6.(1I).4p         | 2H*    | 11/2 |             549929     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4D*    |  1/2 |             550217     |          
                    |        |      |                        |           
3d6.(3G).4p         | 2G*    |  9/2 |             550920     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4F*    |  3/2 |             551436     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4P*    |  1/2 |             551797?    |          
                    |        |      |                        |           
3d6.(3D).4p         | 2P*    |  3/2 |             552107     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4F*    |  5/2 |             552194     |          
                    |        |      |                        |           
3d6.(1G2).4p        | 2G*    |  7/2 |             552256     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4D*    |  7/2 |             552825     |          
                    |        |  5/2 |             553516     |          
                    |        |  3/2 |             553821     |          
                    |        |      |                        |           
3d6.(1G2).4p        | 2F*    |  7/2 |             553976     |          
                    |        |      |                        |           
3d6.(3D).4p         | 2P*    |  1/2 |             554060     |          
                    |        |      |                        |           
3d6.(1G2).4p        | 2G*    |  9/2 |             554178     |          
                    |        |      |                        |           
3d6.(3D).4p         | 4F*    |  7/2 |             554233     |          
                    |        |  9/2 |             554816     |          
                    |        |      |                        |           
3d6.(1G2).4p        | 2F*    |  5/2 |             555091     |          
                    |        |      |                        |           
3d6.(1I).4p         | 2H*    |  9/2 |             555406     |          
                    |        |      |                        |           
3d6.(1G2).4p        | 2H*    | 11/2 |             555468     |          
                    |        |      |                        |           
3d6.(1D2).4p        | 2P*    |  3/2 |             556405     |          
                    |        |      |                        |           
3d6.(1I).4p         | 2I*    | 13/2 |             556798     |          
                    |        | 11/2 |             556952     |          
                    |        |      |                        |           
3d6.(3D).4p         | 2D*    |  5/2 |             557668     |          
                    |        |  3/2 |             557825     |          
                    |        |      |                        |           
3d6.(3D).4p         | 2F*    |  7/2 |             558566     |          
                    |        |  5/2 |             558978     |          
                    |        |      |                        |           
3d6.(1S2).4p        | 2P*    |  1/2 |             559904     |          
                    |        |      |                        |           
3d6.(1D2).4p        | 2D*    |  5/2 |             561991     |          
                    |        |  3/2 |             562112     |          
                    |        |      |                        |           
3d6.(1D2).4p        | 2F*    |  5/2 |             564156     |          
                    |        |      |                        |           
3d6.(1D2).4p        | 2P*    |  1/2 |             564312     |          
                    |        |      |                        |           
3d6.(1D2).4p        | 2F*    |  7/2 |             565606     |          
                    |        |      |                        |           
3d6.(1S2).4p        | 2P*    |  3/2 |             567000     |          
                    |        |      |                        |           
3d6.(1F).4p         | 2G*    |  7/2 |             568768     |          
                    |        |      |                        |           
3d6.(1F).4p         | 2D*    |  5/2 |             572071     |          
                    |        |      |                        |           
3d6.(1F).4p         | 2G*    |  9/2 |             572452     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 4D*    |  1/2 |             573006     |          
                    |        |  3/2 |             573291     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 4D*    |  7/2 |             574464     |          
                    |        |  5/2 |             574543     |          
                    |        |      |                        |           
3d6.(1F).4p         | 2D*    |  3/2 |             575975     |          
                    |        |      |                        |           
3d6.(1F).4p         | 2F*    |  5/2 |             578795     |          
                    |        |  7/2 |             578883     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 4G*    |  5/2 |             582673     |          
                    |        |  7/2 |             583630     |          
                    |        |  9/2 |             584357     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 4S*    |  3/2 |             585126     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 2D*    |  3/2 |             588009     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 4P*    |  3/2 |             589210     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 2D*    |  5/2 |             589686     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 2G*    |  9/2 |             589966     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 4D*    |  1/2 |             590804     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 4D*    |  5/2 |             591396     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 2G*    |  7/2 |             591670     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 4D*    |  3/2 |             591892     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 4F*    |  3/2 |             592793     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 4P*    |  5/2 |             592966     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 4F*    |  7/2 |             593217     |          
                    |        |  5/2 |             594384     |          
                    |        |  9/2 |             594880     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 2D*    |  3/2 |             595580     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 4D*    |  7/2 |             595711     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 2F*    |  7/2 |             597601     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 2P*    |  1/2 |             597627     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 2D*    |  5/2 |             597628     |          
                    |        |      |                        |           
3d6.(1G1).4p        | 2H*    |  9/2 |             598337     |          
                    |        |      |                        |           
3d6.(3F1).4p        | 2F*    |  5/2 |             599465     |          
                    |        |      |                        |           
3d6.(3P1).4p        | 2P*    |  3/2 |             599692     |          
                    |        |      |                        |           
3d6.(1G1).4p        | 2G*    |  7/2 |             601349     |          
                    |        |      |                        |           
3d6.(1G1).4p        | 2H*    | 11/2 |             602300     |          
                    |        |      |                        |           
3d6.(1G1).4p        | 2F*    |  5/2 |             603604     |          
                    |        |      |                        |           
3d6.(1G1).4p        | 2G*    |  9/2 |             605052     |          
                    |        |      |                        |           
3d6.(1G1).4p        | 2F*    |  7/2 |             606160     |          
                    |        |      |                        |           
3d6.(1D1).4p        | 2D*    |  3/2 |             629143     |          
                    |        |  5/2 |             630195     |          
                    |        |      |                        |           
3d6.(1D1).4p        | 2P*    |  3/2 |             640060     |          
                    |        |  1/2 |             641064     |          
                    |        |      |                        |           
3d6.(1D1).4p        | 2F*    |  7/2 |             641323     |          
