4p6.4d             | 2D     | 3/2 |                   0     |    L15024
                   |        | 5/2 |               26190+x   |    L11206
                   |        |     |                         |           
4p5.(2P*).4d2.(1G) | 2F*    | 5/2 |              956640     |    L11206
                   |        |     |                         |           
4p5.(2P*).4d2.(3F) | 2D*    | 5/2 |              997409+x   |    L11206
                   |        |     |                         |           
4p5.(2P*).4d2.(1G) | 2F*    | 7/2 |             1004589+x   |    L11206
