4f7.6s2                    | a 8S*   |                7/2 |               0.00    |     L3974
4f7.(8S*).5d2?             | 8P*?    |                9/2 |           35280.43    |          
                           |         |                    |                       |           
                           | 8D*?    |                3/2 |           35282.22    |          
                           |         |                    |                       |           
                           | 8D*?    |                7/2 |           35377.94    |          
                           |         |                    |                       |           
                           | 8D*?    |                5/2 |           35398.16    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6F    |               11/2 |           35453.23    |          
                           |         |                    |                       |           
                           | 8D*?    |               11/2 |           35460.74    |          
                           |         |                    |                       |           
4f7.(8S*).6s.7p.(3P*)      | 6P      |                7/2 |           35612.47    |          
                           |         |                5/2 |           35703.65    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6F    |                9/2 |           35731.62    |          
                           |         |                    |                       |           
                           | 125     |                3/2 |           35762.12    |          
                           |         |                    |                       |           
                           | 126     |                3/2 |           35799.09    |          
                           |         |                    |                       |           
                           | 8D*?    |                9/2 |           35813.47    |          
                           |         |                    |                       |           
                           | 127     |         3/2 or 5/2 |           35941.51    |          
                           |         |                    |                       |           
4f6.(7F).5d2.6s?           | 10P?    |                7/2 |           36005.73    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | g 8D*   |                3/2 |           36045.39    |          
                           |         |                    |                       |           
                           | 128     |                5/2 |           36052.65    |          
                           |         |                    |                       |           
4f6.(7F).5d.6s2?           | 6F?     |                9/2 |           36071.71    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | g 8D*   |                5/2 |           36072.62    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6F    |                7/2 |           36081.01    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | g 8D*   |                7/2 |           36097.64    |          
                           |         |                    |                       |           
                           | 130     |         5/2 or 7/2 |           36107.85?   |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | g 8D*   |                9/2 |           36219.00    |          
                           |         |               11/2 |           36242.34    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6F    |                5/2 |           36284.82    |          
                           |         |                    |                       |           
                           | 131     |                3/2 |           36334.52    |          
                           |         |                    |                       |           
                           |         |                7/2 |           36381.51    |          
                           |         |                    |                       |           
                           |         |                5/2 |           36410.96    |          
                           |         |                    |                       |           
4f7.(8S*).6s.7p.(1P*)?     | 8P?     |                5/2 |           36441.77    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6F    |                3/2 |           36501.65    |          
                           |         |                    |                       |           
                           |         |                9/2 |           36504.56    |          
                           |         |                    |                       |           
                           |         |                9/2 |           36548.83    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | e 6D*   |                9/2 |           36566.64    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | y 8D    |                5/2 |           36584.31    |          
                           |         |                3/2 |           36586.35    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | e 6D*   |                7/2 |           36589.28    |          
                           |         |                    |                       |           
                           |         |                7/2 |           36600.83    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).6d      | e 6D*   |                5/2 |           36608.42    |          
                           |         |                3/2 |           36622.00    |          
                           |         |                1/2 |           36630.46    |          
                           |         |                    |                       |           
4f7.(8S*).6s (9S*).8s      | g 8S*   |                7/2 |           36659.31    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | y 8D    |                7/2 |           36700.39    |          
                           |         |                    |                       |           
4f6.(7F).5d.6s2?           | 6G?     |                5/2 |           36736.26    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | y 8D    |               11/2 |           36867.04    |          
                           |         |                9/2 |           36889.62    |          
                           |         |                    |                       |           
                           |         |                5/2 |           37001.69    |          
                           |         |                    |                       |           
                           | 132     |               11/2 |           37034.83    |          
                           |         |                    |                       |           
                           | 133     |                5/2 |           37093.81    |          
                           |         |                    |                       |           
                           | 134     |                9/2 |           37126.08    |          
                           |         |                    |                       |           
4f6.(7F).5d.6s2?           | 6G?     |                7/2 |           37152.55    |          
                           |         |                    |                       |           
4f7.(8S*).6s (9S*).8s      | f 10S*  |                9/2 |           37195.76    |          
                           |         |                    |                       |           
                           | 135     |                5/2 |           37266.36    |          
                           |         |                    |                       |           
                           |         |                7/2 |           37301.64    |          
                           |         |                    |                       |           
                           | 136     |       11/2 or 13/2 |           37392.64    |          
                           |         |                    |                       |           
                           | 137     |         5/2 or 7/2 |           37502.49    |          
                           |         |                    |                       |           
                           | 138     |                7/2 |           37504.76    |          
                           |         |                    |                       |           
                           | 139     |         5/2 or 7/2 |           37574.26?   |          
                           |         |                    |                       |           
4f7.(8S*).5d2.(3P)         | e 6P*   |                7/2 |           37584.98    |          
                           |         |                    |                       |           
                           | 140     |                7/2 |           37589.41    |          
                           |         |                    |                       |           
                           | 141     |                9/2 |           37591.21    |          
                           |         |                    |                       |           
                           | 142     |               11/2 |           37800.42    |          
                           |         |                    |                       |           
                           | 143     |                7/2 |           37812.80    |          
                           |         |                    |                       |           
                           | 144     |                7/2 |           37851.77    |          
                           |         |                    |                       |           
4f6.(7F).5d.6s2?           | 6G?     |                9/2 |           37908.83    |          
                           |         |                    |                       |           
                           |         |                9/2 |           37988.09    |          
                           |         |                    |                       |           
4f7.(8S*).5d2.(1S)         | h 8S*   |                7/2 |           37993.98    |          
                           |         |                    |                       |           
4f7.(8S*).5d2.(3P)         | e 6P*   |                5/2 |           38037.34    |          
                           |         |                    |                       |           
                           | 146     |                7/2 |           38072.67    |          
                           |         |                    |                       |           
                           |         |                5/2 |           38080.28    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6D    |                9/2 |           38167.16    |          
                           |         |                    |                       |           
4f7.(8S*).5d2.(3P)         | e 6P*   |                3/2 |           38245.66    |          
                           |         |                    |                       |           
                           | 147     |                9/2 |           38262.89    |          
                           |         |                    |                       |           
                           | 148     |               7/2? |           38290.93    |          
                           |         |                    |                       |           
                           | 149     |       11/2 or 13/2 |           38292.17    |          
                           |         |                    |                       |           
                           | 150     |                7/2 |           38305.27    |          
                           |         |                    |                       |           
                           | 151     |                9/2 |           38360.67    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6D    |                7/2 |           38411.83    |          
                           |         |                5/2 |           38457.26    |          
                           |         |                3/2 |           38530.92    |          
                           |         |                    |                       |           
                           | 152     |       11/2 or 13/2 |           38534.17    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | z 6D    |                1/2 |           38563.98    |          
                           |         |                    |                       |           
4f7.(8S*).6s (9S*).5f?     | y 10F?  |                3/2 |           38565.73    |          
                           |         |                7/2 |           38569.48    |          
                           |         |                5/2 |           38572.63    |          
                           |         |                9/2 |           38580.53    |          
                           |         |               11/2 |           38581.80    |          
                           |         |               15/2 |           38585.65    |          
                           |         |               13/2 |           38585.73    |          
                           |         |                    |                       |           
                           | 153     |                9/2 |           38661.42    |          
                           |         |                    |                       |           
                           | 154     |                7/2 |           38676.85    |          
                           |         |                    |                       |           
                           | 155     |               5/2? |           38738.78    |          
                           |         |                    |                       |           
                           | 156     |               11/2 |           38852.45    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | y 6P    |                7/2 |           38917.74    |          
                           |         |                    |                       |           
4f7.(8S*).6s (7S*).8s      | f 6S*   |                5/2 |           38933.74    |          
                           |         |                    |                       |           
4f7.(8S*).6s (9S*).8p?     | 8P      |                9/2 |           38975.14    |          
                           |         |                    |                       |           
                           |         |                9/2 |           39015.09    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | y 6P    |                5/2 |           39022.47    |          
                           |         |                    |                       |           
4f7.(8S*).5d (7D*).6p      | y 8F    |               11/2 |           39040.31    |          
                           |         |                9/2 |           39051.76    |          
                           |         |                7/2 |           39059.70    |          
                           |         |               13/2 |           39063.29    |          
