2s2.2p3              | 4S*    | 3/2 |                    0     |     L7213
                     |        |     |                          |           
2s2.2p3              | 2D*    | 3/2 |               233740     |          
                     |        | 5/2 |               313520     |          
                     |        |     |                          |           
2s2.2p3              | 2P*    | 1/2 |               426510     |          
                     |        | 3/2 |               629730     |          
                     |        |     |                          |           
2s.2p4               | 4P     | 5/2 |              1081480     |          
                     |        | 3/2 |              1248820     |          
                     |        | 1/2 |              1272280     |          
                     |        |     |                          |           
2s.2p4               | 2D     | 3/2 |              1504340     |          
                     |        | 5/2 |              1569240     |          
                     |        |     |                          |           
2s.2p4               | 2S     | 1/2 |              1716690     |          
                     |        |     |                          |           
2s.2p4               | 2P     | 3/2 |              1787650     |          
                     |        | 1/2 |              2038470     |          
                     |        |     |                          |           
2p5                  | 2P*    | 3/2 |              2743260     |          
                     |        | 1/2 |              3016700     |          
