4d10.4f             | 2F*    | 5/2 |                   0     |    L11203
                    |        | 7/2 |               33000+x   |     L5532
                    |        |     |                         |           
4d9.4f (1P*).4f     | 2G     | 7/2 |             1943370     |    L11203
                    |        | 9/2 |             1997830+x   |    L11203
                    |        |     |                         |           
4d9.4f (1P*).4f     | 2D     | 3/2 |             2024200     |    L11203
                    |        |     |                         |           
4d9.4f (1P*).4f     | 2F     | 5/2 |             2052200     |    L11203
                    |        |     |                         |           
4d9.4f (1P*).4f     | 2D     | 5/2 |             2057200+x   |    L11203
                    |        |     |                         |           
4d9.4f (1P*).4f     | 2F     | 7/2 |             2085200+x   |    L11203
