5d10                        | 1S          |   0 |                 0.0    |    L13502
                            |             |     |                        |           
5d9.6s                      | (5/2,1/2)   |   3 |            149493.9    |    L13502
                            |             |   2 |            153736.5    |    L13502
                            |             |     |                        |           
5d9.6s                      | (3/2,1/2)   |   1 |            175017.3    |    L13502
                            |             |   2 |            178477.3    |    L13502
                            |             |     |                        |           
5d9.6p                      | (5/2,1/2)*  |   2 |            244720.5    |    L13502
                            |             |   3 |            247162.0    |    L13502
                            |             |     |                        |           
5d9.6p                      | (3/2,1/2)*  |   2 |            270602.3    |    L13502
                            |             |   1 |            274158.0    |    L13502
                            |             |     |                        |           
5d9.6p                      | (5/2,3/2)*  |   4 |            277861.1    |    L13502
                            |             |   2 |            280937.4    |    L13502
                            |             |   1 |            284035.2    |    L13502
                            |             |   3 |            284056.0    |    L13502
                            |             |     |                        |           
5d9.6p                      | (3/2,3/2)*  |   0 |            299449.1    |    L10932
                            |             |   3 |            305268.6    |    L13502
                            |             |   1 |            305901.3    |    L13502
                            |             |   2 |            308611.3    |    L13502
                            |             |     |                        |           
5d9.6d                      | (5/2,3/2)   |   1 |            400019.5    |    L10932
                            |             |   4 |            403603.3    |    L10932
                            |             |   2 |            404652.6    |    L10932
                            |             |   3 |            406236.9    |    L10932
                            |             |     |                        |           
5d9.6d                      | (5/2,5/2)   |   1 |            406834.3    |    L10932
                            |             |   5 |            407171.3    |    L10932
                            |             |     |                        |           
5d9.5f                      | (5/2,5/2)*  |   1 |            407313      |     L9362
                            |             |     |                        |           
5d9.6d                      | (5/2,5/2)   |   3 |            409898.2    |    L10932
                            |             |   2 |            410299.3    |    L10932
                            |             |   4 |            411152.6    |    L10932
                            |             |     |                        |           
5d8.(1D<2>).(6s.6p<1/2>)<1> | (2,1)*      |   1 |            413562      |     L9362
                            |             |   2 |            414621      |     L9362
                            |             |     |                        |           
5d9.6d                      | (5/2,5/2)   |   0 |            416569.3    |    L10932
                            |             |     |                        |           
5d8.(3F<3>).(6s.6p<1/2>)<0> | (3,0)*      |   3 |            423417      |     L9362
                            |             |     |                        |           
5d9.5f                      | (5/2,7/2)*  |   1 |            425698      |     L9362
                            |             |     |                        |           
5d9.7s                      | (5/2,1/2)   |   3 |            426585.3    |    L10932
                            |             |     |                        |           
5d8.(3P<0>).(6s.6p<1/2>)<1> | (0,1)*      |   1 |            427353      |     L9362
                            |             |     |                        |           
5d9.7s                      | (5/2,1/2)   |   2 |            427483.1    |    L10932
                            |             |     |                        |           
5d9.6d                      | (3/2,3/2)   |   1 |            428690.1    |    L10932
                            |             |   3 |            429083.3    |    L10932
                            |             |     |                        |           
5d8.(3F<3>).(6s.6p<1/2>)<1> | (3,1)*      |   3 |            429200      |     L9362
                            |             |     |                        |           
5d9.6d                      | (3/2,5/2)   |   1 |            432339.8    |    L10932
                            |             |     |                        |           
5d9.6d                      | (3/2,3/2)   |   2 |            432738.2    |    L10932
                            |             |     |                        |           
5d9.6d                      | (3/2,5/2)   |   4 |            433960.7    |    L10932
                            |             |     |                        |           
5d8.(3F<3>).(6s.6p<1/2>)<1> | (3,1)*      |   2 |            434813      |     L9362
                            |             |     |                        |           
5d9.6d                      | (3/2,5/2)   |   2 |            435141.6    |    L10932
                            |             |   3 |            436552.2    |    L10932
                            |             |     |                        |           
5d8.(3F<2>).(6s.6p<1/2>)<1> | (2,1)*      |   3 |            436628      |     L9362
                            |             |     |                        |           
5d8.(3P<2>).(6s.6p<1/2>)<1> | (2,1)*      |   2 |            436798      |     L9362
                            |             |     |                        |           
5d8.(3F<4>).(6s.6p<3/2>)<2> | (4,2)*      |   4 |            436983      |     L9362
                            |             |     |                        |           
5d8.(3P<1>).(6s.6p<1/2>)<1> | (1,1)*      |   2 |            440341      |     L9362
                            |             |     |                        |           
5d8.(3F<4>).(6s.6p<3/2>)<2> | (4,2)*      |   3 |            441843      |     L9362
                            |             |     |                        |           
5d8.(1G<4>).(6s.6p<1/2>)<0> | (4,0)*      |   4 |            442151      |     L9362
                            |             |     |                        |           
5d8.(3P<2>).(6s.6p<1/2>)<1> | (2,1)*      |   1 |            442251      |     L9362
                            |             |     |                        |           
5d9.5f                      | (3/2,5/2)*  |   2 |            443063      |     L9362
                            |             |     |                        |           
5d8.(1D<2>).(6s.6p<3/2>)<2> | (2,2)*      |   4 |            443686      |     L9362
                            |             |   3 |            443780      |     L9362
                            |             |     |                        |           
5d8.(3P<1>).(6s.6p<1/2>)<1> | (1,1)*      |   1 |            445514      |     L9362
                            |             |     |                        |           
5d8.(3F<4>).(6s.6p<3/2>)<2> | (4,2)*      |   2 |            445517      |     L9362
                            |             |     |                        |           
5d9.5f                      | (3/2,7/2)*  |   3 |            445676      |     L9362
                            |             |     |                        |           
5d8.(1G<4>).(6s.6p<1/2>)<1> | (4,1)*      |   4 |            446047      |     L9362
                            |             |     |                        |           
5d9.5f                      | (3/2,7/2)*  |   4 |            446862      |     L9362
                            |             |     |                        |           
