2p6.3s2            | 1S     |   0 |                0     |     L7185
                   |        |     |                      |           
3s.3p              | 3P*    |   0 |           158177     |          
                   |        |   1 |           160141     |          
                   |        |   2 |           164451     |          
                   |        |     |                      |           
3s.3p              | 1P*    |   1 |           236610     |          
                   |        |     |                      |           
3p2                | 1D     |   2 |           372403     |          
                   |        |     |                      |           
3p2                | 3P     |   0 |           375192     |          
                   |        |   1 |           377805     |          
                   |        |   2 |           382708     |          
                   |        |     |                      |           
3p2                | 1S     |   0 |           440596     |          
                   |        |     |                      |           
3s.3d              | 3D     |   1 |           455897     |          
                   |        |   2 |           456088     |          
                   |        |   3 |           456414     |          
                   |        |     |                      |           
3s.3d              | 1D     |   2 |           516087     |          
                   |        |     |                      |           
3p.3d              | 3F*    |   2 |           623694     |          
                   |        |   3 |           626453     |          
                   |        |   4 |           629767     |          
                   |        |     |                      |           
3p.3d              | 1D*    |   2 |           633107     |          
                   |        |     |                      |           
3p.3d              | 3P*    |   2 |           661379     |          
                   |        |     |                      |           
3p.3d              | 3D*    |   1 |           662401     |          
                   |        |     |                      |           
3p.3d              | 3P*    |   0 |           665205     |          
                   |        |   1 |           665957     |          
                   |        |     |                      |           
3p.3d              | 3D*    |   3 |           666417     |          
                   |        |   2 |           666472     |          
                   |        |     |                      |           
3p.3d              | 1F*    |   3 |           713188     |          
                   |        |     |                      |           
3p.3d              | 1P*    |   1 |           722946     |          
                   |        |     |                      |           
3s.4s              | 3S     |   1 |           900183     |          
                   |        |     |                      |           
3s.4s              | 1S     |   0 |           915285     |          
                   |        |     |                      |           
3s.4p              | 1P*    |   1 |           980604     |          
                   |        |     |                      |           
3s.4d              | 3D     |   1 |          1075000     |          
                   |        |   2 |          1075170     |          
                   |        |   3 |          1075490     |          
                   |        |     |                      |           
3s.4d              | 1D     |   2 |          1081940     |          
                   |        |     |                      |           
3p.4s              | 3P*    |   0 |          1098980     |          
                   |        |   1 |          1100490     |          
                   |        |   2 |          1105510     |          
                   |        |     |                      |           
3s.4f              | 3F*    |   2 |          1118590     |          
                   |        |   3 |          1118610     |          
                   |        |   4 |          1118690     |          
                   |        |     |                      |           
3s.4f              | 1F*    |   3 |          1128020     |          
                   |        |     |                      |           
3p.4p              | 3D     |   2 |          1171150     |          
                   |        |   3 |          1175690     |          
                   |        |     |                      |           
3p.4p              | 3P     |   0 |          1176780     |          
                   |        |   1 |          1178420     |          
                   |        |   2 |          1181510     |          
                   |        |     |                      |           
3p.4p              | 3S     |   1 |          1182860     |          
                   |        |     |                      |           
3p.4d              | 3D*    |   1 |          1266360     |          
                   |        |     |                      |           
3p.4d              | 1F*    |   3 |          1282190     |          
                   |        |     |                      |           
3p.4d              | 1P*    |   1 |          1283650     |          
                   |        |     |                      |           
3p.4d              | 3P*    |   1 |          1284320     |          
                   |        |     |                      |           
3p.4f              | 3G     |   4 |          1306910     |          
                   |        |     |                      |           
3p.4f              | 3F     |   3 |          1307590     |          
                   |        |     |                      |           
3s.5p              | 1P*    |   1 |          1309880     |          
                   |        |     |                      |           
3p.4f              | 3G     |   5 |          1310890     |          
                   |        |     |                      |           
3p.4f              | 3F     |   4 |          1312010     |          
                   |        |     |                      |           
3p.4f              | 3D     |   2 |          1321340     |          
                   |        |     |                      |           
3p.4f              | 1G     |   4 |          1326600     |          
                   |        |     |                      |           
3s.5d              | 1D     |   2 |          1350990     |          
                   |        |     |                      |           
3s.5d              | 3D     |   2 |          1352020     |          
                   |        |   3 |          1352040     |          
                   |        |   1 |          1352060     |          
                   |        |     |                      |           
3s.5f              | 3F*    |   4 |          1371450     |          
                   |        |   3 |          1371610     |          
                   |        |   2 |          1371630     |          
                   |        |     |                      |           
3s.6f              | 3F*    |   4 |          1508050     |          
                   |        |   3 |          1508140     |          
                   |        |   2 |          1508290     |          
