Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
6.1110000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.7880000e-08 2.1040000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.0070000e-05 4.1310000e-01 1.1190000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 1.2840000e+01 1.5890000e-02 3.3890000e+00 0.0000000e+00 
*** Na VI transition probabilities
*** ATOM sodium
*** SPECTRUM 6
*** N_LEVELS 5
*** SOURCE3 Galavis, Mendoza & Zeippen, 1997, A&AS, 123, 159
*** NOTE3 All A-values
*** GSCONFIG p2
