Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.5970000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.1700000e-11 9.7600007e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3220000e-06 6.7905080e-03 2.0455830e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.2550000e-01 6.9980000e-04 1.6850000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 1.4500000e+02 4.2600000e+02 2.9200000e-03 0.0000000e+00 0.0000000e+00 
*** O III transition probabilities
*** ATOM oxygen
*** SPECTRUM 3
*** N_LEVELS 6
*** SOURCE4 From Tachiev, G., & Froese Fischer, C. 2001, Canadian Journal of Physics, 79, 955
*** NOTE4 All A values
*** GSCONFIG p2
