Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.0600001e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.9600000e-03 1.4100000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.9000000e+00 1.3700000e+00 1.4100000e-01 0.0000000e+00 0.0000000e+00 
4.5599999e+00 1.9700000e+00 1.3400000e+00 2.9400000e-04 0.0000000e+00 
*** K IV transition probabilities
*** ATOM potassium
*** SPECTRUM 5
*** N_LEVELS 5
*** SOURCE2 Mendoza, 1983, "Planetary Nebulae", 143
*** NOTE2 A-value for 4-3
*** SOURCE3 Kaufman & Sugar, 1986, JPCRD, 15, 345
*** NOTE3 All other A-values
*** GSCONFIG p3
