Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.8200000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.6500000e-04 1.2000000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.6400001e-02 1.1700000e-01 6.1400000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3200000e-02 6.1500002e-02 1.0200000e-01 2.0800001e-11 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6100000e+08 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6500000e+08 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6700000e+08 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** O I transition probabilities
*** ATOM oxygen
*** SPECTRUM 2
*** N_LEVELS 8
*** SOURCE4 Zeippen 1982, MNRAS, 198, 111
*** NOTE4 A-values from levels up to 5
*** SOURCE5 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 369
*** NOTE5 A-values from level 6
*** GSCONFIG p3
