0 0 5.000e-01 6.000e-01 7.000e-01 8.000e-01 9.000e-01 1.000e+00 1.100e+00 1.200e+00 1.300e+00 1.400e+00 1.500e+00 1.600e+00 1.700e+00 1.800e+00 1.900e+00 2.000e+00
1 3 7.250e-02 8.660e-02 1.004e-01 1.140e-01 1.274e-01 1.405e-01 1.533e-01 1.657e-01 1.778e-01 1.896e-01 2.009e-01 2.118e-01 2.222e-01 2.322e-01 2.416e-01 2.506e-01
1 2 1.088e-01 1.298e-01 1.506e-01 1.710e-01 1.911e-01 2.107e-01 2.299e-01 2.486e-01 2.667e-01 2.843e-01 3.013e-01 3.176e-01 3.333e-01 3.483e-01 3.625e-01 3.759e-01
1 4 2.690e-02 3.210e-02 3.720e-02 4.230e-02 4.730e-02 5.210e-02 5.680e-02 6.140e-02 6.580e-02 7.010e-02 7.420e-02 7.810e-02 8.180e-02 8.530e-02 8.860e-02 9.160e-02
1 5 5.370e-02 6.420e-02 7.450e-02 8.460e-02 9.450e-02 1.042e-01 1.136e-01 1.228e-01 1.316e-01 1.402e-01 1.484e-01 1.562e-01 1.636e-01 1.706e-01 1.772e-01 1.833e-01
2 3 1.281e-01 1.591e-01 1.886e-01 2.167e-01 2.434e-01 2.689e-01 2.931e-01 3.162e-01 3.382e-01 3.591e-01 3.790e-01 3.979e-01 4.159e-01 4.331e-01 4.494e-01 4.650e-01
3 4 6.013e-02 6.819e-02 7.584e-02 8.316e-02 9.020e-02 9.700e-02 1.036e-01 1.100e-01 1.162e-01 1.223e-01 1.283e-01 1.342e-01 1.399e-01 1.455e-01 1.510e-01 1.565e-01
3 5 8.561e-02 9.869e-02 1.113e-01 1.235e-01 1.354e-01 1.470e-01 1.583e-01 1.695e-01 1.804e-01 1.911e-01 2.017e-01 2.121e-01 2.224e-01 2.325e-01 2.425e-01 2.524e-01
2 4 6.260e-02 7.243e-02 8.194e-02 9.118e-02 1.002e-01 1.090e-01 1.176e-01 1.261e-01 1.345e-01 1.427e-01 1.508e-01 1.588e-01 1.666e-01 1.744e-01 1.822e-01 1.898e-01
2 5 1.615e-01 1.841e-01 2.058e-01 2.265e-01 2.466e-01 2.660e-01 2.849e-01 3.033e-01 3.213e-01 3.389e-01 3.562e-01 3.731e-01 3.898e-01 4.061e-01 4.223e-01 4.382e-01
4 5 3.289e-02 4.027e-02 4.779e-02 5.542e-02 6.316e-02 7.100e-02 7.892e-02 8.693e-02 9.500e-02 1.031e-01 1.114e-01 1.196e-01 1.280e-01 1.363e-01 1.448e-01 1.533e-01
*** N I collision strengths
*** T_UNIT K/10000
*** ATOM nitrogen
*** SPECTRUM 1
*** SOURCE1 Pequignot & Aldrovandi, 1976, A&A, 50, 141
*** NOTE1 Collision strengths of 2-1, 3-1, 4-1, 5-1
*** SOURCE2 Dopita, Mason & Robb, 1976, ApJ, 207, 102
*** NOTE2 All other coll. strengths
*** GSCONFIG p3
