Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0480000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.5990000e-07 5.5620000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
6.1490000e-01 1.8370000e-01 2.2020000e-05 0.0000000e+00 0.0000000e+00 
1.0660000e-02 7.1520000e+00 0.0000000e+00 3.3150000e+00 0.0000000e+00 
*** Na IV transition probabilities
*** ATOM sodium
*** SPECTRUM 4
*** N_LEVELS 5
*** SOURCE3 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE3 All A-values
*** GSCONFIG p4
