0 0 2.699e+00 3.000e+00 3.301e+00 3.477e+00 3.602e+00 3.699e+00 3.778e+00 3.845e+00 3.903e+00 3.954e+00 4.000e+00 4.301e+00 4.477e+00 4.602e+00 4.699e+00
1 2 3.050e+00 2.400e+00 2.140e+00 2.050e+00 1.960e+00 1.880e+00 1.790e+00 1.710e+00 1.630e+00 1.550e+00 1.480e+00 1.030e+00 8.110e-01 6.790e-01 5.920e-01
1 3 8.560e-02 8.900e-02 8.870e-02 8.400e-02 7.880e-02 7.400e-02 6.970e-02 6.610e-02 6.300e-02 6.030e-02 5.800e-02 4.630e-02 4.190e-02 3.900e-02 3.670e-02
1 4 1.410e-01 1.450e-01 1.430e-01 1.350e-01 1.260e-01 1.180e-01 1.110e-01 1.040e-01 9.880e-02 9.410e-02 9.000e-02 6.680e-02 5.680e-02 5.090e-02 4.660e-02
1 5 1.340e-01 1.340e-01 1.290e-01 1.200e-01 1.100e-01 1.020e-01 9.460e-02 8.820e-02 8.280e-02 7.810e-02 7.400e-02 5.140e-02 4.180e-02 3.630e-02 3.260e-02
1 6 1.180e+00 1.200e+00 1.160e+00 1.120e+00 1.110e+00 1.100e+00 1.100e+00 1.100e+00 1.110e+00 1.120e+00 1.130e+00 1.250e+00 1.350e+00 1.440e+00 1.520e+00
1 7 3.000e-01 3.340e-01 3.050e-01 2.670e-01 2.370e-01 2.130e-01 1.940e-01 1.790e-01 1.660e-01 1.560e-01 1.470e-01 1.020e-01 8.340e-02 7.300e-02 6.580e-02
2 3 9.450e-02 9.480e-02 9.190e-02 8.550e-02 7.890e-02 7.300e-02 6.800e-02 6.370e-02 6.000e-02 5.680e-02 5.400e-02 3.880e-02 3.220e-02 2.820e-02 2.550e-02
2 4 2.200e-01 2.230e-01 2.180e-01 2.040e-01 1.890e-01 1.760e-01 1.640e-01 1.540e-01 1.450e-01 1.380e-01 1.310e-01 9.460e-02 7.890e-02 6.980e-02 6.340e-02
2 5 4.060e-01 4.170e-01 4.120e-01 3.880e-01 3.620e-01 3.380e-01 3.180e-01 3.000e-01 2.840e-01 2.710e-01 2.590e-01 1.940e-01 1.660e-01 1.490e-01 1.370e-01
2 6 5.990e-01 6.460e-01 6.020e-01 5.510e-01 5.100e-01 4.800e-01 4.570e-01 4.390e-01 4.260e-01 4.150e-01 4.070e-01 3.780e-01 3.790e-01 3.850e-01 3.920e-01
2 7 2.360e+00 2.420e+00 2.320e+00 2.230e+00 2.170e+00 2.130e+00 2.110e+00 2.100e+00 2.100e+00 2.110e+00 2.110e+00 2.270e+00 2.430e+00 2.580e+00 2.710e+00
3 4 5.960e-01 6.800e-01 7.570e-01 7.590e-01 7.400e-01 7.130e-01 6.860e-01 6.580e-01 6.330e-01 6.090e-01 5.870e-01 4.440e-01 3.710e-01 3.250e-01 2.920e-01
3 5 4.140e-01 4.860e-01 5.390e-01 5.350e-01 5.170e-01 4.960e-01 4.740e-01 4.530e-01 4.340e-01 4.160e-01 4.010e-01 3.010e-01 2.550e-01 2.290e-01 2.110e-01
3 6 2.910e-01 2.500e-01 2.220e-01 2.060e-01 1.930e-01 1.820e-01 1.730e-01 1.640e-01 1.570e-01 1.510e-01 1.460e-01 1.130e-01 9.660e-02 8.600e-02 7.820e-02
3 7 1.670e-01 1.520e-01 1.420e-01 1.340e-01 1.260e-01 1.190e-01 1.130e-01 1.070e-01 1.030e-01 9.860e-02 9.490e-02 7.280e-02 6.200e-02 5.510e-02 5.010e-02
4 5 1.170e+00 1.360e+00 1.510e+00 1.500e+00 1.460e+00 1.400e+00 1.350e+00 1.290e+00 1.240e+00 1.190e+00 1.150e+00 8.680e-01 7.290e-01 6.450e-01 5.860e-01
4 6 4.530e-01 3.930e-01 3.530e-01 3.280e-01 3.070e-01 2.900e-01 2.750e-01 2.620e-01 2.510e-01 2.410e-01 2.320e-01 1.790e-01 1.530e-01 1.360e-01 1.240e-01
4 7 4.630e-01 4.110e-01 3.750e-01 3.510e-01 3.300e-01 3.120e-01 2.950e-01 2.810e-01 2.690e-01 2.590e-01 2.490e-01 1.920e-01 1.640e-01 1.460e-01 1.330e-01
5 6 3.550e-01 3.210e-01 2.990e-01 2.810e-01 2.650e-01 2.500e-01 2.370e-01 2.260e-01 2.160e-01 2.070e-01 2.000e-01 1.530e-01 1.310e-01 1.160e-01 1.060e-01
5 7 1.020e+00 8.850e-01 7.940e-01 7.370e-01 6.910e-01 6.520e-01 6.190e-01 5.890e-01 5.640e-01 5.420e-01 5.220e-01 4.040e-01 3.450e-01 3.070e-01 2.790e-01
6 7 4.200e+00 3.160e+00 2.390e+00 2.040e+00 1.820e+00 1.650e+00 1.510e+00 1.400e+00 1.310e+00 1.230e+00 1.160e+00 7.730e-01 6.080e-01 5.150e-01 4.550e-01
*** Ne VI collision strengths
*** T_UNIT log(K)
*** ATOM neon
*** SPECTRUM 6
*** N_LEVELS 7
*** SOURCE1 Zhang, Graziani & Pradhan, 1994, A&A, 283, 319
*** NOTE1 collision strengths 
*** GSCONFIG p1
