Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s
0.0 1.11e-02 6.94e-05 8.32e-04 7.13e-07 2.67e-02 6.56e-03 1.24e-03 1.11e-04 2.04e-03 9.47e-04 2.76e-04 2.89e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 3.86e-05 1.01e-02 5.22e-04 1.44e-03 0.0 1.73e-02 9.99e-03 2.78e-03 1.91e-03 3.56e-05 5.77e-04 5.08e-04 1.91e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 8.18e-05 8.90e-03 2.76e-03 0.0 0.0 1.28e-02 1.68e-02 0.0 2.35e-03 8.26e-04 1.13e-04 0.0 5.81e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 1.57e-01 5.14e-02 5.30e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 5.60e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 5.93e-02 4.54e-02 1.20e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.29e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 1.80e-06 8.40e-05 2.70e-06 9.20e-06 0.0 2.62e-03 2.66e-02 1.81e-02 2.10e-04 1.03e-02 1.80e-04 6.10e-04 7.62e-02 3.84e-02 1.72e-0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 2.00e-06 9.60e-05 1.90e-05 0.0 0.0 1.27e-03 4.10e-04 0.0 1.70e-04 9.06e-03 3.14e-03 2.00e-06 3.80e-05 9.16e-02 0.0 0.0 2.72e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 2.49e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.27e-02 1.30e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.10e-06 1.24e-02 2.90e-05 5.80e-05 1.70e-07 1.12e-02 3.19e-01 3.58e-02 1.58e-02 1.10e-05 1.40e-04 2.00e-05 5.40e-07 2.26e-02 8.61e-03 2.40e-07 0.0 0.0 7.66e-03 2.90e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
