Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1700000e+03 4.5400000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1600001e-02 0.0000000e+00 3.8899999e-04 0.0000000e+00 0.0000000e+00 
2.8600000e+09 6.6799998e-02 4.9899999e-02 8.2099997e-02 0.0000000e+00 
*** O V transition probabilities
*** ATOM oxygen
*** SPECTRUM 5
*** N_LEVELS 5
*** SOURCE3 Hibbert, 1980, J Phys B, 13, 1721
*** NOTE3 A-values for 3-1 and 5-1
*** SOURCE4 Nussbaumer & Storey, 1979, A&A, 74, 244
*** NOTE4 All other A-values
*** GSCONFIG s2
