0 0 4.300e+00 4.600e+00 4.780e+00
1 2 2.908e+00 3.001e+00 3.089e+00
1 3 5.810e+00 5.997e+00 6.173e+00
2 3 1.132e+00 1.114e+00 1.133e+00
*** C IV collision strengths
*** ATOM carbon
*** SPECTRUM 4
*** N_LEVELS 3
*** T_UNIT log(K)
*** GSCONFIG s1
*** SOURCE1 Aggarwal and Keenan 2004, Phys Scripta, 69, 385
*** NOTE1 Collision strengths
