Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0400000e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0100000e-05 1.5100000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.3800000e-01 2.0299999e-01 4.5400000e-05 0.0000000e+00 0.0000000e+00 
8.1699997e-02 1.0500000e+01 0.0000000e+00 3.1800001e+00 0.0000000e+00 
*** K IV transition probabilities
*** ATOM potassium
*** SPECTRUM 4
*** N_LEVELS 5
*** SOURCE2 Mendoza, 1983, "Planetary Nebulae", 143
*** NOTE2 A-values for 3-1, 4-3 & 5-1
*** SOURCE3 Kaufman & Sugar, 1986, JPCRD, 15, 345
*** NOTE3 All other A-values
*** GSCONFIG p4
