0  0 	2.	  2.70 	    3.		3.70		4.		4.30		4.48
1  2 	2.72	  3.02 	    2.78 	2.09		1.69 	1.28 	1.07
1  3	2.70	  3.00	    3.16	2.56		1.93		1.34		1.04
2  3	8.48	  9.18	    9.55	8.02		6.26		4.49		3.60
1  4	.123	  .120	    .122	.180		.195		.209		.219
2  4	.376	  .367	    .369	.537		.584		.627		.658
3  4	.661	  .646	    .647	.911		.997		1.07		1.10
1  5	.046	  .0482	    .0484	.0358	.0315	.0298	.0294	
2  5	.135	  .142	    .142	.104		.0913	.0873	.0869
3  5	.224	  .235	    .235	.173		.153		.147		.145
4  5	.351	  .451	    .488	.669		.626		.633		.687
*** Ne V collision strengths 
*** ATOM neon
*** SPECTRUM 5
*** N_LEVELS 5
*** T_UNIT   log(K)
*** SOURCE1  Dance, M., Palay, E., Nahar, S. N., & Pradhan, A. K., 2013, MNRAS
*** NOTE1    Collision strengths
