Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.7360000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.1770000e+02 4.4620000e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.1720000e+01 6.9960000e+01 4.7830000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.1710000e+02 2.0630000e-12 8.6320000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 5.0130000e+08 5.0090000e-06 2.7920000e-03 1.3070000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.2170000e+08 8.2390000e+07 1.0550000e-03 3.9840000e-03 1.7770000e-03 4.8670000e-09 0.0000000e+00 0.0000000e+00 
1.0010000e+09 1.9300000e+09 1.2860000e-02 6.3760000e-02 2.5840000e-04 6.4870000e+00 4.3140000e+00 0.0000000e+00 
*** N III transition probabilities
*** ATOM nitrogen
*** SPECTRUM 3
*** N_LEVELS 8
*** SOURCE4 Galavis, Mendoza & Zeippen, 1998, A&A Supp., 131, 499
*** NOTE4 All A-values
*** GSCONFIG p1
