0 0 2.000e-01 3.000e-01 4.000e-01 5.000e-01 6.000e-01 7.000e-01 8.000e-01 9.000e-01 1.000e+00 1.100e+00 1.200e+00 1.300e+00 1.400e+00 1.500e+00 1.600e+00 1.800e+00 2.000e+00 2.200e+00 2.400e+00 2.600e+00 2.800e+00 3.000e+00 3.200e+00 3.400e+00 3.600e+00 3.800e+00 4.000e+00
1 2 1.286e+00 1.287e+00 1.298e+00 1.316e+00 1.340e+00 1.367e+00 1.394e+00 1.420e+00 1.445e+00 1.469e+00 1.492e+00 1.514e+00 1.534e+00 1.554e+00 1.573e+00 1.609e+00 1.642e+00 1.674e+00 1.704e+00 1.734e+00 1.762e+00 1.790e+00 1.816e+00 1.841e+00 1.865e+00 1.887e+00 1.909e+00
1 3 1.909e-01 1.882e-01 1.879e-01 1.889e-01 1.905e-01 1.924e-01 1.944e-01 1.962e-01 1.979e-01 1.995e-01 2.009e-01 2.021e-01 2.032e-01 2.041e-01 2.049e-01 2.061e-01 2.068e-01 2.073e-01 2.074e-01 2.074e-01 2.071e-01 2.067e-01 2.062e-01 2.056e-01 2.049e-01 2.042e-01 2.034e-01
1 4 2.812e-01 2.781e-01 2.784e-01 2.806e-01 2.838e-01 2.874e-01 2.910e-01 2.945e-01 2.978e-01 3.007e-01 3.034e-01 3.058e-01 3.079e-01 3.098e-01 3.114e-01 3.139e-01 3.157e-01 3.168e-01 3.175e-01 3.177e-01 3.176e-01 3.172e-01 3.166e-01 3.158e-01 3.149e-01 3.139e-01 3.127e-01
1 5 1.705e-01 1.713e-01 1.741e-01 1.780e-01 1.826e-01 1.875e-01 1.923e-01 1.969e-01 2.013e-01 2.054e-01 2.091e-01 2.126e-01 2.157e-01 2.185e-01 2.210e-01 2.252e-01 2.285e-01 2.310e-01 2.328e-01 2.341e-01 2.350e-01 2.354e-01 2.356e-01 2.354e-01 2.351e-01 2.346e-01 2.339e-01
2 3 1.304e-01 1.306e-01 1.323e-01 1.349e-01 1.380e-01 1.412e-01 1.445e-01 1.476e-01 1.506e-01 1.533e-01 1.558e-01 1.581e-01 1.602e-01 1.621e-01 1.637e-01 1.665e-01 1.687e-01 1.703e-01 1.715e-01 1.723e-01 1.727e-01 1.730e-01 1.730e-01 1.728e-01 1.725e-01 1.721e-01 1.716e-01
2 4 3.614e-01 3.596e-01 3.619e-01 3.669e-01 3.732e-01 3.799e-01 3.866e-01 3.931e-01 3.992e-01 4.049e-01 4.100e-01 4.147e-01 4.189e-01 4.226e-01 4.259e-01 4.313e-01 4.353e-01 4.383e-01 4.403e-01 4.415e-01 4.421e-01 4.421e-01 4.418e-01 4.410e-01 4.400e-01 4.387e-01 4.373e-01
2 5 7.933e-01 7.852e-01 7.864e-01 7.933e-01 8.029e-01 8.135e-01 8.242e-01 8.346e-01 8.442e-01 8.530e-01 8.610e-01 8.681e-01 8.745e-01 8.800e-01 8.848e-01 8.926e-01 8.980e-01 9.017e-01 9.038e-01 9.047e-01 9.046e-01 9.036e-01 9.020e-01 8.999e-01 8.973e-01 8.943e-01 8.911e-01
3 4 9.571e-01 9.687e-01 9.904e-01 1.015e+00 1.037e+00 1.057e+00 1.074e+00 1.089e+00 1.102e+00 1.112e+00 1.121e+00 1.128e+00 1.135e+00 1.140e+00 1.145e+00 1.152e+00 1.158e+00 1.163e+00 1.167e+00 1.171e+00 1.174e+00 1.178e+00 1.181e+00 1.185e+00 1.189e+00 1.192e+00 1.196e+00
3 5 5.678e-01 5.797e-01 5.959e-01 6.121e-01 6.267e-01 6.394e-01 6.502e-01 6.595e-01 6.675e-01 6.744e-01 6.804e-01 6.857e-01 6.904e-01 6.946e-01 6.983e-01 7.050e-01 7.108e-01 7.161e-01 7.210e-01 7.257e-01 7.304e-01 7.350e-01 7.395e-01 7.441e-01 7.485e-01 7.530e-01 7.573e-01
4 5 1.760e+00 1.788e+00 1.832e+00 1.879e+00 1.922e+00 1.960e+00 1.993e+00 2.020e+00 2.044e+00 2.064e+00 2.081e+00 2.096e+00 2.109e+00 2.120e+00 2.130e+00 2.147e+00 2.161e+00 2.172e+00 2.183e+00 2.193e+00 2.203e+00 2.213e+00 2.223e+00 2.232e+00 2.242e+00 2.251e+00 2.261e+00
1 6 1.707e+00 1.745e+00 1.765e+00 1.779e+00 1.790e+00 1.799e+00 1.806e+00 1.812e+00 1.818e+00 1.822e+00 1.826e+00 1.830e+00 1.832e+00 1.835e+00 1.837e+00 1.841e+00 1.843e+00 1.846e+00 1.847e+00 1.849e+00 1.851e+00 1.852e+00 1.854e+00 1.856e+00 1.857e+00 1.859e+00 1.860e+00
1 7 5.357e-01 5.596e-01 5.593e-01 5.551e-01 5.516e-01 5.495e-01 5.485e-01 5.481e-01 5.481e-01 5.482e-01 5.483e-01 5.482e-01 5.480e-01 5.475e-01 5.469e-01 5.451e-01 5.426e-01 5.396e-01 5.362e-01 5.324e-01 5.284e-01 5.242e-01 5.200e-01 5.156e-01 5.112e-01 5.068e-01 5.024e-01
1 8 6.938e-01 6.962e-01 6.969e-01 6.968e-01 6.963e-01 6.957e-01 6.950e-01 6.945e-01 6.940e-01 6.937e-01 6.935e-01 6.934e-01 6.934e-01 6.935e-01 6.936e-01 6.941e-01 6.949e-01 6.958e-01 6.968e-01 6.979e-01 6.991e-01 7.003e-01 7.016e-01 7.030e-01 7.043e-01 7.057e-01 7.071e-01
