Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.7499999e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.5000000e+04 3.3900000e+04 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.4000000e+02 1.9500000e+04 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.9500000e+04 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** ATOM sulfur
*** SPECTRUM 4
*** SOURCE2 Johnson et al, 1986, MNRAS, 220, 155
*** NOTE2 A-value for 2-1
*** SOURCE3 Dufton et al, 1982, ApJ, 257, 338
*** NOTE3 A-values for 3, 4, 5th levels
*** GSCONFIG p1
