Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0600000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.7800000e-04 1.3000000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.2200001e-02 9.9100001e-02 5.3399999e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1199999e-02 5.1899999e-02 8.6700000e-02 1.4100000e-10 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6100000e+08 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6500000e+08 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.6700000e+08 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** O I transition probabilities
*** ATOM oxygen
*** SPECTRUM 2
*** N_LEVELS 8
*** SOURCE4 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 369
*** NOTE4 All A-values
*** GSCONFIG p3
