Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0770000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.1270000e-12 7.4630000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.5540000e-07 1.0160000e-03 3.0050000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.2970000e-02 1.3150000e-04 1.0230000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 5.4900000e+01 1.2700000e+02 9.3300000e-04 0.0000000e+00 0.0000000e+00 
*** N II transition probabilities
*** ATOM nitrogen
*** SPECTRUM 2
*** N_LEVELS 6
*** SOURCE4 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE4 Transition probabilities from levels up to 5
*** SOURCE5 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 200
*** NOTE5 Transition probabilities from level 6
*** GSCONFIG p2
