Aij
1/s 1/s 1/s 1/s 1/s
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
4.4100000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
4.9678000e-03 1.4630000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00
4.7700000e-01 1.0390000e-01 3.6290000e-01 0.0000000e+00 0.0000000e+00
1.1850000e+00 3.7080000e-01 4.1040000e-01 2.7010000e-09 0.0000000e+00
*** Ne IV transition probabilities
*** ATOM neon
*** SPECTRUM 4
*** N_LEVELS 5
*** GSCONFIG unknown
*** SOURCE3 Godefroid, Frose Fisher 1984 Journal of Physics B Atomic Molecular Physics, 17, 681-692
*** NOTE3 A-values from all levels
