Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0830000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.1200000e-12 7.4200000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.2530000e-07 9.8510000e-04 2.9140000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.1850000e-02 1.5470000e-04 1.1360000e+00 0.0000000e+00 0.0000000e+00 
9.5740000e-04 5.1550000e+01 1.2660000e+02 8.9490000e-04 6.9600000e-12 0.0000000e+00 
*** N II transition probabilities
*** ATOM nitrogen
*** SPECTRUM 2
*** N_LEVELS 6
*** GSCONFIG p2
*** SOURCE4 Froese Fischer et al 2004, ADNDT 87, 1
*** NOTE4 A-values from all levels
