       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   4.042   3.397   3.200   3.117   3.061   3.008   2.954   2.898   2.841   2.785   2.184
       1       3   3.079   3.521   3.839   4.046   4.162   4.211   4.215   4.189   4.146   4.093   3.286
       1       4   1.279   1.211   1.117   1.036   0.977   0.936   0.908   0.890   0.878   0.870   0.842
       1       5   1.352   1.341   1.279   1.224   1.189   1.173   1.168   1.171   1.179   1.188   1.300
       2       3   5.641   5.904   5.946   5.865   5.738   5.602   5.476   5.365   5.272   5.195   4.855
       2       4   2.168   2.089   2.011   1.958   1.926   1.910   1.905   1.908   1.916   1.927   2.102
       2       5   2.710   3.061   3.209   3.276   3.307   3.319   3.320   3.316   3.307   3.298   3.145
       3       4   2.420   2.458   2.469   2.460   2.445   2.428   2.410   2.393   2.377   2.362   2.226
       3       5   4.612   4.771   4.773   4.760   4.750   4.747   4.750   4.758   4.772   4.789   5.098
       4       5   2.486   2.665   2.747   2.778   2.784   2.777   2.764   2.748   2.732   2.718   2.649
*** Kr IV collision strengths 
*** ATOM krypton
*** SPECTRUM 4
*** N_LEVELS 5
*** T_UNIT	log(K) 
*** SOURCE1	Schoning 1997 A&AS, 122, 277
*** NOTE1 	Effective Collision Strengths Omega
*** GSCONFIG p3
