Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.4905000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.8140000e-04 0.0000000e-00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.2610000e-01 3.0080000e-01 9.3020000e-02 0.0000000e+00 0.0000000e+00 
8.0590000e-01 3.3092001e-01 3.1040001e-01 0.0000000e-00 0.0000000e+00 
*** ATOM chlorine
*** SPECTRUM 3
*** SOURCE2 Rynkun, P., Gaigalas, G., & Jonsson, P. 2019, Astronomy and Astrophysics, 623, A155
*** NOTE2 All A values
*** GSCONFIG p3
