Aij
1/s 1/s 1/s 1/s 1/s
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
5.4300000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
4.9710000e-03 0.0000000e-00 0.0000000e+00 0.0000000e+00 0.0000000e+00
4.9000000e-01 1.0400000e-01 3.6400000e-01 0.0000000e+00 0.0000000e+00
1.2200000e+00 3.7200000e-01 4.1120000e-01 0.0000000e-00 0.0000000e+00
*** Ne IV transition probabilities
*** ATOM neon
*** SPECTRUM 4
*** N_LEVELS 5
*** GSCONFIG unknown
*** SOURCE3 Merkelis, G., Martinson, I., Kisielius, R., & Vilkas, M. J. 1999, \physscr, 59, 122-132
*** NOTE3 A-values from all levels
