Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.0550000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0070000e-03 3.1900001e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.7400000e-01 3.5100000e-01 1.0800000e-01 0.0000000e+00 0.0000000e+00 
9.6300000e-01 3.9040001e-01 3.6400001e-01 7.5800000e-06 0.0000000e+00 
*** ATOM chlorine
*** SPECTRUM 3
*** SOURCE2 S. J. Czyzak and T. K. Krueger, MNRAS 126, 177–194 (1963) 
*** NOTE2 All A values
*** GSCONFIG p3
