       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   3.794   3.613   3.512   3.450   3.419   3.414   3.426   3.450   3.481   3.516   3.964
       1       3   0.819   0.827   0.833   0.839   0.849   0.864   0.882   0.901   0.921   0.940   1.126
       1       4   2.501   2.500   2.479   2.455   2.436   2.423   2.416   2.415   2.419   2.427   2.749
       1       5   0.220   0.230   0.258   0.291   0.321   0.346   0.367   0.383   0.396   0.406   0.450
       2       3   1.505   1.413   1.360   1.322   1.293   1.272   1.257   1.247   1.241   1.237   1.262
       2       4   1.691   1.682   1.667   1.653   1.640   1.631   1.625   1.623   1.623   1.625   1.799
       2       5   0.215   0.219   0.234   0.252   0.268   0.282   0.293   0.301   0.309   0.315   0.362
       3       4   0.566   0.564   0.560   0.555   0.551   0.548   0.546   0.546   0.546   0.548   0.610
       3       5   0.063   0.065   0.073   0.082   0.090   0.097   0.102   0.107   0.110   0.114   0.142
       4       5   1.603   1.696   1.788   1.855   1.898   1.925   1.939   1.945   1.946   1.943   1.867
*** Kr III collision strengths
*** ATOM krypton
*** SPECTRUM 3
*** N_LEVELS 5
*** T_UNIT	log(K)
*** SOURCE1	Schoning 1997 A&AS, 122, 277
*** NOTE1 	Collision strengths
*** GSCONFIG p4
