0 0 50     70     100    150   200  250  300   350  400    450   500   600   700   800   900   1000
1 2 5.77  7.23  9.188 12.056 14.62 16.98 19.2 21.27 23.26 25.17 27.01 30.52 33.84 37.01 40.05 42.98
1 3 2.51  3.29  4.379 6.057  7.624 9.115 10.5 11.93 13.27 14.59 15.87 18.36 20.77 23.11 25.39 27.63 
2 3 83.8  97.2 113.78 136.0 154.36 170.3 184.5 197. 209.4 220.5 231.01 250.3 267.8 284.1 299.2 313.4
*** O I IR rates coefficients 
*** ATOM oxygen
*** SPECTRUM 1
*** N_LEVELS 3
*** T_UNIT 'K'
*** O_UNIT 'DEEX RATE COEFF"
*** COEFF 1e-11
*** SOURCE1  'Tielens, A. G. G. M. & Hollenbach, D 1985, ApJ, 291, 747'
*** NOTE1    'de-excitation rate coefficients with H'
*** GSCONFIG p4
