 Aij
    1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s         1/s 
3.3989e-02  0.0000e+00  9.5596e-07  1.0455e-03  2.0665e-06  2.7500e-02  2.5627e-03  5.5143e-06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.6433e-02  0.0000e+00  0.0000e+00  4.5293e-04  8.2032e-07  2.2087e-02  4.7515e-02  2.2874e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
0.0000e+00  5.3369e-03  1.6893e-03  0.0000e+00  1.1463e-06  0.0000e+00  0.0000e+00  0.0000e+00  2.3868e-10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
0.0000e+00  1.7124e-04  8.9917e-07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
9.2880e-04  0.0000e+00  2.6721e-04  1.3632e-01  1.3443e-01  4.9234e-01  9.2923e-02  2.2783e-07  1.4202e-03  2.7253e-05  3.3734e-04  1.0756e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.0809e-04  0.0000e+00  0.0000e+00  1.4615e-02  1.4912e-03  7.8506e-02  2.2880e-01  7.3612e-02  7.4145e-06  1.7441e-03  2.3509e-04  2.6771e-04  0.0000e+00  0.0000e+00  1.7011e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.1442e-06  3.5617e-04  5.0072e-01  1.3823e-02  7.6435e-02  2.1100e-04  1.4074e-05  0.0000e+00  9.9500e-02  0.0000e+00  3.3604e-02  6.8176e-05  1.6064e-08  0.0000e+00  1.5490e-02  2.4182e-09  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
0.0000e+00  0.0000e+00  5.7151e-03  1.9291e-01  4.5138e-01  8.2216e-02  1.4067e-02  2.5097e-06  5.6209e-04  1.3053e-03  6.8222e-03  1.5248e-02  0.0000e+00  0.0000e+00  7.8480e-02  2.9891e-02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
2.2736e-05  3.5607e-01  1.1070e-01  8.9567e-05  1.3745e-02  6.3119e-05  0.0000e+00  0.0000e+00  1.7251e-01  0.0000e+00  5.6974e-03  0.0000e+00  5.8226e-06  2.7321e-09  4.0801e-10  0.0000e+00  7.0447e-04  2.7716e-14  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.3094e-05  4.3051e-02  1.9034e-01  1.9213e-02  1.9929e-01  2.8262e-03  4.3750e-05  0.0000e+00  1.3075e-01  0.0000e+00  1.7056e-02  8.2049e-03  5.6504e-09  0.0000e+00  1.7429e-02  1.9848e-10  5.7640e-05  4.1881e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
3.6543e-05  0.0000e+00  6.5652e-02  2.7384e-01  1.2354e-01  2.2603e-02  7.4623e-03  5.1696e-06  3.5438e-02  6.7568e-03  2.2850e-01  3.6194e-02  0.0000e+00  0.0000e+00  2.2926e-02  4.8167e-03  1.1254e-04  3.5331e-05  1.9478e-13  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
3.9873e-06  0.0000e+00  0.0000e+00  3.3299e-01  7.8546e-02  7.1157e-04  2.6140e-03  1.7843e-03  1.9624e-04  1.1563e-01  4.7792e-02  1.9336e-01  0.0000e+00  0.0000e+00  3.1927e-05  1.2179e-02  8.5256e-10  2.6691e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
6.0755e-08  1.1865e-02  1.6870e-01  9.7277e-07  1.5657e-01  1.3009e-06  0.0000e+00  0.0000e+00  7.7444e-04  0.0000e+00  6.5901e-05  0.0000e+00  8.3442e-02  1.7139e-05  3.1923e-08  0.0000e+00  1.6719e-04  5.6240e-08  1.2749e-02  1.7413e-03  1.1922e-08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
0.0000e+00  4.5712e-01  2.2880e-01  0.0000e+00  2.1288e-06  0.0000e+00  0.0000e+00  0.0000e+00  5.1035e-07  0.0000e+00  0.0000e+00  0.0000e+00  1.9154e-01  1.0355e-01  0.0000e+00  0.0000e+00  1.0618e-06  0.0000e+00  1.4785e-04  5.3491e-08  0.0000e+00  0.0000e+00  3.5352e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
5.9611e-09  2.2164e-04  7.4644e-04  5.6935e-04  5.3152e-04  2.7035e-05  6.4423e-07  0.0000e+00  2.1240e-04  0.0000e+00  8.6597e-04  5.7719e-05  2.2050e-05  0.0000e+00  1.3844e-03  8.4782e-08  2.2213e-02  1.0016e-02  1.9332e-03  2.1447e-02  8.8720e-03  1.9643e-09  5.9360e-03  1.5073e-09  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
2.2652e-07  4.1555e-03  1.4859e-02  5.8096e-06  1.9855e-02  3.0144e-06  0.0000e+00  0.0000e+00  4.5086e-03  0.0000e+00  1.9714e-04  0.0000e+00  2.9014e-02  6.9204e-06  8.0425e-08  0.0000e+00  5.1309e-03  4.1481e-08  4.2738e-02  1.7663e-02  5.0336e-09  0.0000e+00  1.8582e-02  4.3754e-03  3.6394e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
6.2467e-09  0.0000e+00  4.3927e-04  2.0027e-04  7.1988e-03  3.4786e-06  5.5793e-05  2.3668e-07  8.0155e-03  3.1081e-04  8.6572e-04  2.2998e-03  0.0000e+00  0.0000e+00  5.0039e-03  1.2477e-02  4.1847e-02  8.7699e-03  1.0955e-06  3.9292e-02  1.9511e-02  8.2916e-02  1.4306e-04  0.0000e+00  3.0714e-04  2.5804e-06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
8.6716e-08  1.6860e-05  9.1310e-03  4.5039e-04  4.2720e-04  8.6475e-05  5.6874e-06  0.0000e+00  3.7360e-04  0.0000e+00  8.2937e-04  2.8496e-04  4.3455e-04  0.0000e+00  1.2648e-02  1.8609e-06  3.8138e-03  6.2807e-02  9.7500e-02  3.3127e-02  2.3792e-02  1.7180e-08  2.9151e-04  1.1809e-04  4.7303e-04  4.8357e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.6777e-07  0.0000e+00  0.0000e+00  7.7188e-07  0.0000e+00  5.7464e-05  6.3542e-01  1.2673e-01  0.0000e+00  2.1546e-03  2.3524e-04  1.7507e-02  0.0000e+00  0.0000e+00  7.8970e-04  7.8969e-04  0.0000e+00  8.1262e-05  0.0000e+00  0.0000e+00  2.1843e-05  1.9399e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2445e-06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.0165e-06  0.0000e+00  0.0000e+00  7.6371e-05  2.1683e-05  6.3009e-03  0.0000e+00  2.3044e-03  7.2847e-06  5.8061e-01  8.4898e-02  2.3585e-01  0.0000e+00  0.0000e+00  6.3549e-02  1.1317e-01  5.5412e-03  7.4742e-03  0.0000e+00  7.0150e-04  4.1386e-03  3.9411e-03  0.0000e+00  0.0000e+00  8.6538e-02  0.0000e+00  1.0586e-01  1.4176e-03  8.3092e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
2.0900e-06  0.0000e+00  7.7619e-07  1.9022e-05  1.1223e-05  5.0128e-03  5.3484e-03  3.3883e-04  6.7881e-01  2.1343e-06  2.5669e-01  3.3278e-01  0.0000e+00  0.0000e+00  1.0016e-01  3.2665e-02  1.5799e-02  3.3441e-02  3.0710e-03  1.6423e-03  9.3512e-03  2.7395e-03  1.1074e-02  0.0000e+00  7.5534e-03  6.7126e-02  1.7154e-01  9.9129e-02  8.3648e-04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
1.1696e-05  1.3178e-01  9.7781e-03  3.1598e-05  5.1147e-02  5.4683e-03  0.0000e+00  0.0000e+00  1.9348e-05  0.0000e+00  1.7452e-04  0.0000e+00  1.4694e-01  4.7838e+00  2.2757e-01  0.0000e+00  6.7606e-03  4.3240e-02  1.5305e-02  3.8674e-03  1.2686e-02  0.0000e+00  1.0181e-01  1.6958e-03  2.9467e-01  3.6406e-01  3.6181e-03  1.6695e-01  0.0000e+00  0.0000e+00  5.9634e-06  0.0000e+00  0.0000e+00  
1.1767e-06  8.4951e-05  3.9641e-02  1.2863e-01  0.0000e+00  6.0883e-04  8.3756e-04  0.0000e+00  8.8873e-06  0.0000e+00  1.5856e-06  1.2647e-05  4.8828e+00  0.0000e+00  3.1725e-02  2.5208e-01  3.7700e-03  2.4530e-03  4.5972e-03  4.2978e-03  2.9684e-04  7.9474e-03  6.6034e-02  1.5000e-02  4.6364e-01  3.1149e-01  1.6626e-01  2.9448e-01  0.0000e+00  5.6005e-06  2.3227e-05  0.0000e+00  0.0000e+00  
*** Fe IV transition probabilities
*** ATOM iron
*** SPECTRUM 4
*** N_LEVELS 33
*** GSCONFIG d5
*** SOURCE1 Froese Fischer, Rubin & Rodríguez 2008, MNRAS, 391, 1828
*** NOTE1 All transition Probabilities
