0 0 2.000e+00 2.180e+00 2.300e+00 2.480e+00 2.700e+00 2.880e+00 3.000e+00 3.180e+00 3.300e+00 3.480e+00 3.700e+00 3.880e+00 4.000e+00 4.180e+00 4.300e+00 4.480e+00 4.700e+00 4.880e+00 5.000e+00
1 2 7.960e-01 7.970e-01 7.980e-01 8.010e-01 8.080e-01 8.170e-01 8.230e-01 8.300e-01 8.320e-01 8.320e-01 8.310e-01 8.330e-01 8.340e-01 8.390e-01 8.440e-01 8.560e-01 8.810e-01 9.050e-01 9.190e-01
1 3 5.310e-01 5.330e-01 5.330e-01 5.350e-01 5.400e-01 5.460e-01 5.500e-01 5.540e-01 5.550e-01 5.540e-01 5.530e-01 5.530e-01 5.540e-01 5.570e-01 5.610e-01 5.690e-01 5.850e-01 6.010e-01 6.110e-01
1 4 2.440e-01 2.450e-01 2.450e-01 2.450e-01 2.450e-01 2.460e-01 2.460e-01 2.470e-01 2.470e-01 2.490e-01 2.510e-01 2.530e-01 2.560e-01 2.600e-01 2.650e-01 2.740e-01 2.900e-01 3.040e-01 3.120e-01
1 5 1.260e-01 1.260e-01 1.260e-01 1.260e-01 1.270e-01 1.270e-01 1.270e-01 1.270e-01 1.280e-01 1.280e-01 1.290e-01 1.310e-01 1.320e-01 1.340e-01 1.360e-01 1.410e-01 1.490e-01 1.550e-01 1.590e-01
2 3 1.095e+00 1.086e+00 1.078e+00 1.072e+00 1.097e+00 1.151e+00 1.194e+00 1.239e+00 1.254e+00 1.256e+00 1.241e+00 1.221e+00 1.203e+00 1.183e+00 1.179e+00 1.193e+00 1.229e+00 1.257e+00 1.270e+00
2 4 7.910e-01 7.930e-01 7.930e-01 7.940e-01 7.960e-01 7.970e-01 7.990e-01 8.010e-01 8.040e-01 8.090e-01 8.200e-01 8.340e-01 8.510e-01 8.910e-01 9.300e-01 9.970e-01 1.084e+00 1.144e+00 1.178e+00
2 5 3.150e-01 3.160e-01 3.160e-01 3.160e-01 3.170e-01 3.180e-01 3.180e-01 3.190e-01 3.200e-01 3.220e-01 3.260e-01 3.320e-01 3.390e-01 3.560e-01 3.710e-01 3.960e-01 4.270e-01 4.470e-01 4.580e-01
3 4 4.390e-01 4.400e-01 4.400e-01 4.400e-01 4.410e-01 4.420e-01 4.430e-01 4.440e-01 4.450e-01 4.480e-01 4.540e-01 4.620e-01 4.720e-01 4.940e-01 5.160e-01 5.510e-01 5.950e-01 6.240e-01 6.390e-01
3 5 3.080e-01 3.080e-01 3.090e-01 3.090e-01 3.100e-01 3.100e-01 3.110e-01 3.120e-01 3.130e-01 3.150e-01 3.190e-01 3.240e-01 3.310e-01 3.450e-01 3.600e-01 3.860e-01 4.210e-01 4.450e-01 4.590e-01
4 5 2.730e-01 2.740e-01 2.740e-01 2.740e-01 2.740e-01 2.750e-01 2.750e-01 2.760e-01 2.760e-01 2.770e-01 2.790e-01 2.820e-01 2.850e-01 2.940e-01 3.050e-01 3.270e-01 3.610e-01 3.880e-01 4.050e-01
*** O II collision strengths 
*** T_UNIT log(K)
*** ATOM oxygen
*** SPECTRUM 2
*** N_LEVELS 5
*** SOURCE1 Kisielius et al 2009, MNRAS, 397, 903
*** NOTE1 All collision strengths
*** GSCONFIG p3
