0 0 3.300e+00 3.500e+00 3.700e+00 3.900e+00 4.100e+00 4.300e+00 4.500e+00 4.700e+00 4.900e+00 5.100e+00 5.300e+00 5.500e+00
1 2 5.029e+00 5.019e+00 4.979e+00 4.864e+00 4.662e+00 4.405e+00 4.142e+00 3.894e+00 3.614e+00 3.262e+00 2.854e+00 2.434e+00
1 3 1.327e+00 1.330e+00 1.313e+00 1.271e+00 1.204e+00 1.121e+00 1.039e+00 9.670e-01 8.980e-01 8.210e-01 7.380e-01 6.530e-01
1 4 4.738e+00 4.716e+00 4.691e+00 4.661e+00 4.605e+00 4.508e+00 4.359e+00 4.131e+00 3.798e+00 3.362e+00 2.857e+00 2.330e+00
1 5 5.550e-01 5.570e-01 5.590e-01 5.590e-01 5.570e-01 5.520e-01 5.430e-01 5.270e-01 4.990e-01 4.560e-01 3.970e-01 3.270e-01
2 3 1.634e+00 1.621e+00 1.620e+00 1.604e+00 1.563e+00 1.505e+00 1.443e+00 1.373e+00 1.271e+00 1.125e+00 9.490e-01 7.690e-01
2 4 2.843e+00 2.830e+00 2.815e+00 2.796e+00 2.763e+00 2.705e+00 2.616e+00 2.482e+00 2.290e+00 2.042e+00 1.755e+00 1.450e+00
2 5 3.330e-01 3.340e-01 3.350e-01 3.350e-01 3.340e-01 3.310e-01 3.260e-01 3.160e-01 2.980e-01 2.720e-01 2.370e-01 1.950e-01
3 4 9.480e-01 9.430e-01 9.380e-01 9.320e-01 9.210e-01 9.020e-01 8.720e-01 8.270e-01 7.630e-01 6.780e-01 5.790e-01 4.740e-01
3 5 1.110e-01 1.110e-01 1.120e-01 1.120e-01 1.110e-01 1.100e-01 1.090e-01 1.050e-01 9.900e-02 9.000e-02 7.800e-02 6.500e-02
4 5 1.499e+00 1.498e+00 1.492e+00 1.481e+00 1.464e+00 1.445e+00 1.421e+00 1.394e+00 1.370e+00 1.359e+00 1.358e+00 1.357e+00
*** Cl II collision strengths 
*** T_UNIT log(K)
*** ATOM chlorine
*** SPECTRUM 2
*** N_LEVELS 5
*** GSCONFIG p4
*** SOURCE1 Wilson & Bell 2002, 331, 389
*** NOTE1 Collision strengths
