Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.8150000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.5030000e-03 1.3060000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.1040000e-01 1.0420000e-01 3.7090000e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.2670000e+00 3.7790000e-01 4.2200000e-01 1.1180000e-09 0.0000000e+00 0.0000000e+00 
5.3600000e+09 4.6630000e+04 1.9390000e+04 1.2970000e+04 6.9100000e-03 0.0000000e+00 
*** Ne IV transition probabilities
*** ATOM neon
*** SPECTRUM 4
*** N_LEVELS 6
*** GSCONFIG unknown
*** SOURCE3 Froese Fischer et al 2004, ADNDT 87, 1
*** NOTE3 A-values from all levels
