Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.1240000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.6350000e-04 1.2410000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.6460000e-02 1.0180000e-01 5.8710000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.2650000e-02 5.8240000e-02 9.6680000e-02 3.1600000e-10 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.5090000e+08 3.1960000e+03 3.8760000e+02 2.1570000e+03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.5480000e+08 1.7100000e+02 7.8580000e+02 2.8330000e+03 1.4030000e+01 8.1400000e-12 0.0000000e+00 0.0000000e+00 
8.5670000e+08 0.0000000e+00 2.9040000e+02 6.0810000e+01 1.1070000e+03 8.8900000e-11 4.1200000e-14 0.0000000e+00 
*** O I transition probabilities
*** ATOM oxygen
*** SPECTRUM 2
*** N_LEVELS 8
*** GSCONFIG p3
*** SOURCE4 Froese Fischer et al 2004, ADNDT 87, 1
*** NOTE4 A-values from all levels
