Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.9100002e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.3400001e-10 1.7500000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.6510000e-03 1.8230000e-03 8.6000000e-07 0.0000000e+00 0.0000000e+00 
2.4199999e-04 7.5400002e-02 0.0000000e+00 1.2600000e+00 0.0000000e+00 
*** O III transition probabilities
*** ATOM oxygen
*** SPECTRUM 1
*** N_LEVELS 5
*** SOURCE2 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 364
*** NOTE2 All A-values
*** GSCONFIG p4
