Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.7200001e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0699999e-03 2.3000001e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.5999999e-01 6.9599998e-01 1.1900000e-01 0.0000000e+00 0.0000000e+00 
1.8800000e+00 8.3999997e-01 7.0800000e-01 4.9400001e-05 0.0000000e+00 
*** ATOM argon
*** SPECTRUM 4
*** SOURCE2 Kaufman & Sugar, 1986, JPCRD, 15, 343
*** NOTE2 A values for all except 4-3
*** SOURCE3 Mendoza & Zeippen, 1982, MNRAS, 198,127
*** NOTE3 A value for 4-3
*** GSCONFIG p3
