Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.5100000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3190000e-07 8.0520000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.1630000e-04 1.1920000e+00 3.1070000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.5850000e+01 3.6110000e-02 3.9580000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 1.1830000e+04 3.2100000e+04 5.5380000e+00 0.0000000e+00 0.0000000e+00 
*** Mg VII transition probabilities 
*** ATOM magnesium
*** SPECTRUM 7
*** N_LEVELS 6
*** SOURCE4 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE4 All A-values
*** GSCONFIG p2
