Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0800001e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.1600000e-12 7.4599998e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.3500003e-07 1.0100000e-03 2.9899999e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 3.3799998e-02 1.5100000e-04 1.1200000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 5.4900002e+01 1.2700000e+02 9.3300000e-04 0.0000000e+00 0.0000000e+00 
*** N II transition probabilities
*** ATOM nitrogen
*** SPECTRUM 2
*** N_LEVELS 6
*** SOURCE3 Nussbaumer & Rusca 1979 A&A, 72, 192
*** NOTE3 A-values from levels up to 5
*** SOURCE4 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 200
*** NOTE4 A-values from level 6
*** GSCONFIG p2
