       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   2.587   1.656   1.656   1.656   1.656   1.656   1.656   1.656   1.656   1.656   1.656
       1       3   1.971   1.261   1.261   1.261   1.261   1.261   1.261   1.261   1.261   1.261   1.261
       1       4   0.819   0.524   0.524   0.524   0.524   0.524   0.524   0.524   0.524   0.524   0.524
       1       5   0.865   0.554   0.554   0.554   0.554   0.554   0.554   0.554   0.554   0.554   0.554
       2       3   3.610   2.311   2.311   2.311   2.311   2.311   2.311   2.311   2.311   2.311   2.311
       2       4   1.388   0.888   0.888   0.888   0.888   0.888   0.888   0.888   0.888   0.888   0.888
       2       5   1.734   1.110   1.110   1.110   1.110   1.110   1.110   1.110   1.110   1.110   1.110
       3       4   1.549   0.991   0.991   0.991   0.991   0.991   0.991   0.991   0.991   0.991   0.991
       3       5   2.952   1.889   1.889   1.889   1.889   1.889   1.889   1.889   1.889   1.889   1.889
       4       5   1.591   1.018   1.018   1.018   1.018   1.018   1.018   1.018   1.018   1.018   1.018
*** Br III  effective collision strengths
*** ATOM bromine
*** SPECTRUM 3
*** GSCONFIG p3
*** N_LEVELS 5
*** T_UNIT log(K) 
*** SOURCE1	Schoning 1997 A&AS, 122, 277 
*** NOTE1 Collision Strengths (scaled from Kr IV effective collision strengths)
