Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.1710000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.7240000e+03 1.7620000e+03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.8360000e+01 3.1470000e+02 5.0530000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 1.3310000e+03 4.8840000e-11 1.0080000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 7.3140000e+08 2.4300000e-05 1.6500000e-02 7.8380000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
6.1950000e+08 1.1890000e+08 6.6220000e-03 2.5180000e-02 1.0220000e-02 4.4410000e-08 0.0000000e+00 0.0000000e+00 
1.3400000e+09 2.4900000e+09 7.8980000e-02 3.8810000e-01 1.1910000e-03 8.7200000e+00 5.7860000e+00 0.0000000e+00 
*** O IV transition probabilities
*** ATOM oxygen
*** SPECTRUM 4
*** N_LEVELS 8
*** SOURCE3 Galavis, Mendoza & Zeippen, 1998, A&A Supp., 131, 499
*** NOTE3 All A-values
*** GSCONFIG p1
