Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.0380000e+02 2.2700000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.1489999e-03 1.3700000e-13 2.3299999e-06 0.0000000e+00 0.0000000e+00 
1.7880000e+09 1.4500000e-03 1.0900000e-03 1.8100000e-03 0.0000000e+00 
*** C III transition probabilities
*** ATOM carbon
*** SPECTRUM 3
*** N_LEVELS 5
*** SOURCE2 Unknown
*** NOTE2 A-values from levels up to 4
*** SOURCE3 Nussbaumer & Storey 1978, A&A, 64, 139
*** NOTE3 A-values from level 5
*** GSCONFIG s2
