0 0 3.300e+00 3.500e+00 3.600e+00 3.700e+00 3.800e+00 3.900e+00 4.000e+00 4.300e+00 4.500e+00 4.600e+00 4.800e+00 4.900e+00
1 2 4.912e+00 4.949e+00 4.961e+00 4.954e+00 4.934e+00 4.871e+00 4.797e+00 4.465e+00 4.248e+00 4.096e+00 3.860e+00 3.654e+00
1 3 1.375e+00 1.386e+00 1.385e+00 1.377e+00 1.365e+00 1.338e+00 1.308e+00 1.183e+00 1.104e+00 1.051e+00 9.780e-01 9.220e-01
1 4 4.312e+00 4.294e+00 4.284e+00 4.281e+00 4.280e+00 4.282e+00 4.281e+00 4.246e+00 4.182e+00 4.099e+00 3.898e+00 3.679e+00
1 5 4.960e-01 4.990e-01 5.010e-01 5.020e-01 5.040e-01 5.060e-01 5.070e-01 5.100e-01 5.070e-01 4.980e-01 4.700e-01 4.400e-01
2 3 1.440e+00 1.459e+00 1.476e+00 1.486e+00 1.491e+00 1.491e+00 1.484e+00 1.441e+00 1.409e+00 1.383e+00 1.325e+00 1.260e+00
2 4 2.587e+00 2.577e+00 2.570e+00 2.568e+00 2.568e+00 2.569e+00 2.569e+00 2.548e+00 2.509e+00 2.460e+00 2.339e+00 2.208e+00
2 5 2.980e-01 2.990e-01 3.000e-01 3.010e-01 3.020e-01 3.040e-01 3.050e-01 3.060e-01 3.040e-01 2.990e-01 2.820e-01 2.640e-01
3 4 8.630e-01 8.590e-01 8.570e-01 8.560e-01 8.560e-01 8.560e-01 8.560e-01 8.490e-01 8.360e-01 8.200e-01 7.800e-01 7.360e-01
3 5 9.900e-02 1.000e-01 1.000e-01 1.010e-01 1.010e-01 1.010e-01 1.010e-01 1.020e-01 1.010e-01 1.000e-01 9.400e-02 8.800e-02
4 5 1.321e+00 1.321e+00 1.321e+00 1.320e+00 1.320e+00 1.318e+00 1.317e+00 1.320e+00 1.321e+00 1.314e+00 1.300e+00 1.288e+00
*** Cl II collision strengths
*** T_UNIT log(K)
*** ATOM chlorine
*** SPECTRUM 2
*** GSCONFIG p4
*** SOURCE1 Tayal 2004, A&A, 418, 363
*** NOTE1 Collision strengths
