       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   1.222   1.550   1.803   1.937   2.002   2.032   2.045   2.049   2.049   2.046   1.973
       1       3   1.614   1.707   1.711   1.697   1.684   1.675   1.668   1.662   1.658   1.652   1.555
       1       4   0.837   0.919   0.985   1.020   1.035   1.039   1.037   1.032   1.026   1.019   0.912
       1       5   0.191   0.194   0.199   0.204   0.208   0.212   0.216   0.219   0.222   0.224   0.219
       2       3   5.768   6.684   6.885   6.861   6.788   6.710   6.639   6.576   6.519   6.468   5.910
       2       4   2.210   2.603   2.886   3.047   3.131   3.170   3.186   3.190   3.188   3.181   2.969
       2       5   0.634   0.651   0.665   0.676   0.686   0.698   0.709   0.719   0.728   0.736   0.717
       3       4   4.262   4.974   5.446   5.714   5.854   5.923   5.954   5.965   5.965   5.958   5.570
       3       5   1.361   1.341   1.324   1.310   1.304   1.303   1.305   1.307   1.309   1.310   1.180
       4       5   2.144   1.936   1.941   2.025   2.135   2.237   2.330   2.409   2.475   2.527   2.650
*** Kr V collision strengths
*** ATOM krypton
*** SPECTRUM 5
*** N_LEVELS 5
*** T_UNIT	    log(K) 
*** SOURCE1	Schoning 1997 A&AS, 122, 277
*** NOTE1 	Collision strengths
*** GSCONFIG p2 
