       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   5.052   4.246   4.000   3.896   3.826   3.760   3.693   3.622   3.551   3.481   2.730
       1       3   3.849   4.401   4.799   5.057   5.203   5.264   5.269   5.236   5.182   5.116   4.108
       1       4   1.599   1.514   1.396   1.295   1.221   1.170   1.135   1.112   1.098   1.087   1.053
       1       5   1.690   1.676   1.599   1.530   1.486   1.466   1.460   1.464   1.474   1.485   1.625
       2       3   7.051   7.380   7.432   7.331   7.172   7.003   6.845   6.706   6.590   6.494   6.069
       2       4   2.710   2.611   2.514   2.447   2.408   2.388   2.381   2.385   2.395   2.409   2.628
       2       5   3.388   3.826   4.011   4.095   4.134   4.149   4.150   4.145   4.134   4.122   3.931
       3       4   3.025   3.072   3.086   3.075   3.056   3.035   3.013   2.991   2.971   2.952   2.783
       3       5   5.765   5.964   5.966   5.950   5.938   5.934   5.938   5.947   5.965   5.986   6.372
       4       5   3.108   3.331   3.434   3.473   3.480   3.471   3.455   3.435   3.415   3.398   3.311
*** Rb V collision strengths 
*** ATOM rubidium
*** SPECTRUM 5
*** N_LEVELS 5
*** T_UNIT log(K)
*** GSCONFIG p3
*** SOURCE1	Schoning 1997 A&AS, 122, 277
*** NOTE1 	Collision strengths (scaled from Kr IV effective collision strengths)
