Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.9740000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0810000e-08 1.1590000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.7300000e-01 5.3440000e-02 8.2690000e-06 0.0000000e+00 0.0000000e+00 
3.9850000e-03 2.0280000e+00 0.0000000e+00 2.5630000e+00 0.0000000e+00 
*** Ne III transition probabilities
*** ATOM neon
*** SPECTRUM 3
*** N_LEVELS 5
*** SOURCE3 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE3 All A-values
*** GSCONFIG p4
