0 0 1.000e-01 1.500e-01 2.000e-01 2.500e-01 3.000e-01 4.000e-01 5.000e-01 6.000e-01 8.000e-01 1.000e+00 1.200e+00 1.400e+00 1.600e+00 2.000e+00 2.500e+00 3.000e-00 3.500e+00 4.000e+00 5.000e+00 6.000e+00
1 2 3.17e-2   4.49e-2   5.87e-2   7.29e-2   8.74e-2   1.17e-1   1.46e-1   1.76e-1   2.35e-1   2.93e-1   3.48e-1   4.01e-1   4.50e-1   5.41e-1   6.41e-1   7.26e-1   8.00e-1   8.65e-1   9.75e-1   1.06
1 3 3.14e-3   3.60e-3   4.49e-3   5.73e-3   7.21e-3   1.06e-2   1.43e-2   1.80e-2   2.53e-2   3.23e-2   3.88e-2   4.49e-2   5.05e-2   6.07e-2   7.17e-2   8.11e-2   8.92e-2   9.62e-2   1.08e-1   1.17e-1
1 4 2.07e-1   2.22e-1   2.30e-1   2.35e-1   2.37e-1   2.39e-1   2.39e-1   2.38e-1   2.35e-1   2.32e-1   2.30e-1   2.28e-1   2.27e-1   2.26e-1   2.25e-1   2.26e-1   2.26e-1   2.27e-1   2.27e-1   2.27e-1
1 5 4.28e-1   3.91e-1   3.70e-1   3.57e-1   3.49e-1   3.42e-1   3.40e-1   3.40e-1   3.45e-1   3.53e-1   3.63e-1   3.74e-1   3.86e-1   4.12e-1   4.49e-1   4.90e-1   5.32e-1   5.76e-1   6.68e-1   7.60e-1
2 3 1.01e-2   1.74e-2   2.44e-2   3.09e-2   3.67e-2   4.69e-2   5.56e-2   6.33e-2   7.67e-2   8.83e-2   9.86e-2   1.08e-1   1.16e-1   1.32e-1   1.50e-1   1.66e-1   1.81e-1   1.95e-1   2.21e-1   2.45e-1
*** O I collision strength data
*** T_UNIT K/10000
*** ATOM oxygen
*** SPECTRUM 1
*** N_LEVELS 5
*** SOURCE1 Zatsarinny, O. & Tayal, S. S. 2003, Astrophysical Journal, 148, 575-582
*** NOTE1 collision strengths 
*** GSCONFIG p4
