Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0800000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3699999e-06 5.1699998e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.1400001e-01 8.2300000e-02 2.2099999e-05 0.0000000e+00 0.0000000e+00 
4.1700002e-02 3.9100001e+00 0.0000000e+00 2.5899999e+00 0.0000000e+00 
*** ATOM argon
*** SPECTRUM 3
*** SOURCE2 Mendoza & Zeippen 1983, MNRAS 202, 981
*** NOTE2 All A values
*** GSCONFIG p4
