Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.2700000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.0700000e-03 2.1100001e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 
8.9400000e-01 6.1200000e-01 1.2000000e-01 0.0000000e+00 0.0000000e+00 
2.2100000e-00 8.0800001e-01 6.1200001e-01 6.8600000e-05 0.0000000e+00 
*** ATOM argon
*** SPECTRUM 4
*** SOURCE2 Fritzsche et al 1999, ApJ, 518, 994
*** NOTE2 All A values (line gauge)
*** GSCONFIG p3
