Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1699999e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
4.5500000e+03 4.4100000e+03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.3200000e+01 1.2200000e+03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.4600000e+03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1270000e+06 2.5890000e+05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.2250000e+06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** ATOM silicon
*** SPECTRUM 2
*** SOURCE2 Bergeson & Lawler, 1993, ApJ, 414, L137
*** NOTE2 Measured values of log(gf) for 6-1, 6-2 and 7-2
*** SOURCE3 Calamai, Smith & Bergeson, 1993, ApJ, 415, L59
*** NOTE3 Measured A-values for 3-2, 4-2 and 5-2
*** SOURCE4 Nussbaumer, 1977, A&A, 58, 291
*** NOTE4 All other A values
*** GSCONFIG p1
