Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.2910000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.1910000e+01 8.1890000e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.8710000e+00 1.0220000e+01 2.3930000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 5.0310000e+01 3.6570000e-14 3.6680000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.6080000e+08 5.1230000e-07 2.9280000e-04 1.3310000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1850000e+08 4.3150000e+07 9.8140000e-05 3.6590000e-04 1.9580000e-04 2.5290000e-10 0.0000000e+00 0.0000000e+00 
7.3160000e+08 1.4440000e+09 1.2120000e-03 6.0370000e-03 1.3200000e-05 2.4550000e+00 1.6360000e+00 0.0000000e+00 
*** C II transition probabilities
*** ATOM carbon
*** SPECTRUM 2
*** N_LEVELS 8
*** SOURCE4 Galavis, Mendoza & Zeippen, 1998, A&A Supp., 131, 499
*** NOTE4 All A-values
*** GSCONFIG p1
