0 0  3.26 3.65 3.95 4.26 4.65
1 2 3.860 3.820 4.030 4.210 4.260
1 3 0.808 0.866 0.990 1.100 1.160
1 4 3.010 2.970 2.940 2.930 3.090
1 5 0.307 0.299 0.354 0.421 0.478
2 3 1.410 1.420 1.420 1.380 1.320
2 4 1.850 1.820 1.800 1.780 1.870
2 5 0.202 0.192 0.217 0.257 0.302
3 4 0.622 0.612 0.602 0.595 0.625
3 5 0.069 0.065 0.072 0.085 0.105
4 5 0.871 0.995 1.160 1.240 1.340
*** ArIII collision strength data
*** ATOM argon
*** SPECTRUM 3
*** N_LEVELS 5
*** T_UNIT log(K)
*** SOURCE1 Munoz Burgos, J. M.; Loch, S. D.; Ballance, C. P.; Boivin, R. F. 2009, A&A, 500, 1253
*** NOTE1 All collision strengths
