Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.2730000e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
9.6830000e-07 2.1660000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.8680000e+00 5.3480000e-01 5.1460000e-05 0.0000000e+00 0.0000000e+00 
2.4990000e-02 2.1570000e+01 0.0000000e+00 4.0900000e+00 0.0000000e+00 
*** Mg V transition probabilities
*** ATOM magnesium
*** SPECTRUM 5
*** N_LEVELS 5
*** SOURCE3 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE3 All A-values
*** GSCONFIG p4
