       0       0   3.301   3.602   3.778   3.903   4.000   4.079   4.146   4.204   4.255   4.301   4.699
       1       2   3.965   4.011   3.927   3.799   3.663   3.531   3.409   3.297   3.195   3.102   2.313
       1       3  10.610  10.461  10.159   9.830   9.505   9.199   8.916   8.657   8.419   8.202   6.291
       1       4  12.276  12.014  11.738  11.440  11.139  10.847  10.569  10.305  10.056   9.821   7.515
       1       5   0.659   0.704   0.792   0.875   0.939   0.984   1.014   1.034   1.045   1.050   0.940
       2       3   2.454   2.403   2.330   2.264   2.210   2.165   2.127   2.092   2.060   2.029   1.669
       2       4   2.936   2.788   2.641   2.515   2.410   2.322   2.244   2.176   2.115   2.059   1.565
       2       5   1.298   1.438   1.475   1.468   1.442   1.406   1.364   1.322   1.279   1.238   0.839
       3       4   5.079   5.156   5.202   5.212   5.194   5.156   5.105   5.046   4.982   4.915   4.052
       3       5   1.301   1.410   1.484   1.517   1.524   1.515   1.496   1.472   1.444   1.415   1.073
       4       5   2.991   2.838   2.801   2.801   2.810   2.819   2.824   2.827   2.827   2.824   8.710
*** Xe III  effective collision strengths data
*** ATOM xenon
*** SPECTRUM 3
*** GSCONFIG p4
*** N_LEVELS 5
*** T_UNIT	        'log(K)' 
*** SOURCE1	'Schoning 1998 A&AS, 128, 581' 
*** NOTE1 	'Effective Collision Strengths Omega' 
