Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.0400000e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.9100000e-04 2.3700001e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.2100000e-01 3.0200000e-01 9.6100000e-02 0.0000000e+00 0.0000000e+00 
7.9800000e-01 3.2900001e-01 3.1400001e-01 1.3600000e-05 0.0000000e+00 
*** ATOM chlorine
*** SPECTRUM 3
*** SOURCE2 Fritzsche et al 1999, ApJ, 518, 994
*** NOTE2 All A values (line gauge)
*** GSCONFIG p3
