Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
2.82e-04 2.72e-02 1.03e-01 8.84e-02 6.48e-05 5.55e-02 0.0 0.0 3.28e-04 6.72e-05 8.92e-05 1.69e-03 4.04e-03 2.78e-03 0.0 3.86e-04 1.08e-04 1.14e-07 0.0 0.0 2.90e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 7.07e-05 1.43e-03 1.35e-01 1.19e-01 1.59e-02 0.0 0.0 0.0 6.36e-02 1.75e-02 0.0 2.29e-03 6.48e-03 0.0 0.0 4.00e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.17e-01 6.11e-02 4.39e-02 3.37e-05 0.0 4.92e-02 0.0 2.19e-04 1.52e-04 1.31e-04 0.0 1.03e-02 5.79e-03 1.30e-03 7.36e-04 1.28e-04 2.75e-05 7.20e-07 0.0 5.17e-05 5.79e-15 0.0 1.36e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.13e-03 2.07e-04 2.28e-07 0.0 0.0 1.27e-06 2.42e-05 1.82e-01 7.51e-02 0.0 0.0 2.02e-01 1.03e-01 9.59e-08 5.90e-04 9.45e-05 3.53e-04 0.0 7.41e-10 1.30e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 5.31e-05 2.16e-05 0.0 3.84e-04 0.0 0.0 0.0 1.19e+00 0.0 0.0 0.0 3.15e-05 0.0 0.0 0.0 0.0 0.0 2.38e-06 2.01e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.13e-06 2.66e-05 2.05e-03 1.33e-03 5.80e-07 9.00e-02 0.0 0.0 6.70e-05 3.20e-02 4.26e-05 1.32e-05 2.24e-01 1.20e-01 0.0 8.04e-05 1.88e-03 0.0 0.0 5.82e-03 3.24e-02 3.08e-02 6.08e-05 8.14e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.84e+01 2.80e+01 1.91e+01 1.11e+01 3.66e+00 9.63e-04 7.04e-21 1.88e-21 6.59e-06 3.09e-04 2.33e-05 4.96e-05 1.48e-05 2.08e-06 3.61e-23 1.89e-07 4.11e-08 5.98e-05 1.71e-25 9.91e-07 7.42e-07 1.87e-06 1.32e-11 1.23e-10 4.49e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.76e-04 3.13e-04 9.30e-05 1.83e-06 0.0 4.21e-04 0.0 4.39e-03 3.92e-03 1.94e-04 0.0 3.71e-03 3.15e-03 2.30e-03 3.30e-04 9.63e-02 4.90e-02 0.0 0.0 3.38e-02 9.37e-06 5.84e-02 5.37e-03 0.0 1.04e-03 8.22e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 3.03e-02 4.73e-01 0.0 1.69e+00 0.0 0.0 0.0 3.14e-02 0.0 0.0 0.0 1.71e-01 0.0 0.0 0.0 0.0 0.0 3.59e-01 7.25e-02 0.0 0.0 0.0 1.83e-03 5.92e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 3.87e-03 3.74e-01 1.00e-02 5.33e-02 1.27e+00 0.0 0.0 0.0 3.77e-01 9.67e-04 0.0 1.21e-01 6.63e-02 0.0 0.0 1.37e-03 0.0 0.0 2.73e-02 2.54e-01 1.94e-01 0.0 8.77e-02 5.76e-02 1.09e-03 1.99e-05 1.20e-03 0.0 0.0 0.0 0.0 0.0 0.0 
