Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0899999e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.6699999e-05 3.6200002e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.9500000e+00 4.3500000e-01 8.4200001e-05 0.0000000e+00 0.0000000e+00 
1.4500000e-01 2.4000000e+01 0.0000000e+00 3.7300000e+00 0.0000000e+00 
*** Ca IV transition probabilities
*** ATOM calcium
*** SPECTRUM 5
*** N_LEVELS 5
*** SOURCE2 Mendoza, 1983, "Planetary Nebulae", 143
*** NOTE2 A-values for 3-1, 4-3 & 5-1
*** SOURCE3 Kaufman & Sugar, 1986, JPCRD, 15, 347
*** NOTE3 All other A-values
*** GSCONFIG p4
